run,file,project,node,status,duration_ms,finding
signup_browser (Phase 3),signup-contract.spec.ts,desktop,discover → passwordless signup → verify email → setup password → login → dashboard → session survives reload,passed,5729,PASS
signup_browser (Phase 3),signup-contract.spec.ts,desktop,failed signup shows neutral copy only (no token/body/hash/secret leak),passed,525,PASS
signup_browser (Phase 3),signup-contract.spec.ts,tablet,discover → passwordless signup → verify email → setup password → login → dashboard → session survives reload,passed,5667,PASS
signup_browser (Phase 3),signup-contract.spec.ts,tablet,failed signup shows neutral copy only (no token/body/hash/secret leak),passed,491,PASS
signup_browser (Phase 3),signup-contract.spec.ts,mobile,discover → passwordless signup → verify email → setup password → login → dashboard → session survives reload,passed,5741,PASS
signup_browser (Phase 3),signup-contract.spec.ts,mobile,failed signup shows neutral copy only (no token/body/hash/secret leak),passed,494,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,desktop,"W1 single-tenant wholesaler admin: login API 200, auto select-tenant 200, lands on /",passed,1747,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,desktop,"W2 second wholesaler admin: independent tenant, login + select-tenant 200",passed,1608,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,desktop,RA multi-tenant login: response carries 2 availableTenants into workspace selector,passed,1840,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,desktop,"RB retailer portal login: client auth API 200, lands on /client",passed,923,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,desktop,RA retailer portal login at W1 portal: lands on /client,passed,928,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,desktop,"wrong password on wholesaler login: API 401, stays on /login, no token persisted",passed,2225,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,desktop,"wrong password on retailer portal: API 401, stays on portal, neutral message",passed,1795,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,desktop,/select-workspace direct access without navigation state redirects to /login,passed,507,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,desktop,logout clears mpango-auth session and returns to /login,passed,1632,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,tablet,"W1 single-tenant wholesaler admin: login API 200, auto select-tenant 200, lands on /",passed,2014,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,tablet,"W2 second wholesaler admin: independent tenant, login + select-tenant 200",passed,1885,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,tablet,RA multi-tenant login: response carries 2 availableTenants into workspace selector,passed,1970,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,tablet,"RB retailer portal login: client auth API 200, lands on /client",passed,943,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,tablet,RA retailer portal login at W1 portal: lands on /client,passed,883,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,tablet,"wrong password on wholesaler login: API 401, stays on /login, no token persisted",passed,2232,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,tablet,"wrong password on retailer portal: API 401, stays on portal, neutral message",passed,1668,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,tablet,/select-workspace direct access without navigation state redirects to /login,passed,550,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,tablet,logout clears mpango-auth session and returns to /login,passed,1806,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,mobile,"W1 single-tenant wholesaler admin: login API 200, auto select-tenant 200, lands on /",passed,2172,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,mobile,"W2 second wholesaler admin: independent tenant, login + select-tenant 200",passed,1842,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,mobile,RA multi-tenant login: response carries 2 availableTenants into workspace selector,passed,1997,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,mobile,"RB retailer portal login: client auth API 200, lands on /client",passed,901,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,mobile,RA retailer portal login at W1 portal: lands on /client,passed,928,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,mobile,"wrong password on wholesaler login: API 401, stays on /login, no token persisted",passed,2215,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,mobile,"wrong password on retailer portal: API 401, stays on portal, neutral message",passed,1682,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,mobile,/select-workspace direct access without navigation state redirects to /login,passed,490,PASS
full_browser authoritative (Phase 4),auth-matrix.spec.ts,mobile,logout clears mpango-auth session and returns to /login,passed,1536,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,desktop,backend health endpoints are 200 (live/ready),passed,54,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,desktop,frontend serves the SPA shell,passed,13,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,desktop,wholesaler routes redirect anonymous users to /login,passed,1200,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,desktop,retailer /client routes redirect anonymous users to retailer portal or /login,passed,482,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,desktop,/client/login alias redirects to /retail/login preserving w,passed,404,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,desktop,public auth pages are reachable anonymously,passed,750,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,desktop,unknown route renders the 404 page (no crash),passed,468,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,desktop,invalid portal code shows controlled invalid-portal state with zero login API calls,passed,1471,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,tablet,backend health endpoints are 200 (live/ready),passed,66,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,tablet,frontend serves the SPA shell,passed,15,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,tablet,wholesaler routes redirect anonymous users to /login,passed,1256,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,tablet,retailer /client routes redirect anonymous users to retailer portal or /login,passed,399,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,tablet,/client/login alias redirects to /retail/login preserving w,passed,413,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,tablet,public auth pages are reachable anonymously,passed,706,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,tablet,unknown route renders the 404 page (no crash),passed,459,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,tablet,invalid portal code shows controlled invalid-portal state with zero login API calls,passed,1505,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,mobile,backend health endpoints are 200 (live/ready),passed,74,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,mobile,frontend serves the SPA shell,passed,13,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,mobile,wholesaler routes redirect anonymous users to /login,passed,1265,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,mobile,retailer /client routes redirect anonymous users to retailer portal or /login,passed,431,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,mobile,/client/login alias redirects to /retail/login preserving w,passed,461,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,mobile,public auth pages are reachable anonymously,passed,838,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,mobile,unknown route renders the 404 page (no crash),passed,445,PASS
full_browser authoritative (Phase 4),phase1-routes.spec.ts,mobile,invalid portal code shows controlled invalid-portal state with zero login API calls,passed,1454,PASS
full_browser authoritative (Phase 4),phase2-identity.spec.ts,desktop,legacy localStorage keys (access_token/user) do NOT authenticate,passed,693,PASS
full_browser authoritative (Phase 4),phase2-identity.spec.ts,desktop,forged mpango-auth with invalid JWT is rejected by the backend,passed,918,PASS
full_browser authoritative (Phase 4),phase2-identity.spec.ts,desktop,REAL mpango-auth format restores a wholesaler session (hydration),passed,1712,PASS
