idx,file,line,project,status,title
1,auth-matrix.spec.ts,18,desktop,passed,"W1 single-tenant wholesaler admin: login API 200, auto select-tenant 200, lands on /"
2,auth-matrix.spec.ts,28,desktop,passed,"W2 second wholesaler admin: independent tenant, login + select-tenant 200"
3,auth-matrix.spec.ts,36,desktop,passed,RA multi-tenant login: response carries 2 availableTenants into workspace selector
4,auth-matrix.spec.ts,68,desktop,passed,"RB retailer portal login: client auth API 200, lands on /client"
5,auth-matrix.spec.ts,73,desktop,passed,RA retailer portal login at W1 portal: lands on /client
6,auth-matrix.spec.ts,78,desktop,passed,"wrong password on wholesaler login: API 401, stays on /login, no token persisted"
7,auth-matrix.spec.ts,96,desktop,passed,"wrong password on retailer portal: API 401, stays on portal, neutral message"
8,auth-matrix.spec.ts,112,desktop,passed,/select-workspace direct access without navigation state redirects to /login
9,auth-matrix.spec.ts,118,desktop,passed,logout clears mpango-auth session and returns to /login
10,auth-matrix.spec.ts,18,tablet,passed,"W1 single-tenant wholesaler admin: login API 200, auto select-tenant 200, lands on /"
11,auth-matrix.spec.ts,28,tablet,passed,"W2 second wholesaler admin: independent tenant, login + select-tenant 200"
12,auth-matrix.spec.ts,36,tablet,passed,RA multi-tenant login: response carries 2 availableTenants into workspace selector
13,auth-matrix.spec.ts,68,tablet,passed,"RB retailer portal login: client auth API 200, lands on /client"
14,auth-matrix.spec.ts,73,tablet,passed,RA retailer portal login at W1 portal: lands on /client
15,auth-matrix.spec.ts,78,tablet,passed,"wrong password on wholesaler login: API 401, stays on /login, no token persisted"
16,auth-matrix.spec.ts,96,tablet,passed,"wrong password on retailer portal: API 401, stays on portal, neutral message"
17,auth-matrix.spec.ts,112,tablet,passed,/select-workspace direct access without navigation state redirects to /login
18,auth-matrix.spec.ts,118,tablet,passed,logout clears mpango-auth session and returns to /login
19,auth-matrix.spec.ts,18,mobile,passed,"W1 single-tenant wholesaler admin: login API 200, auto select-tenant 200, lands on /"
20,auth-matrix.spec.ts,28,mobile,passed,"W2 second wholesaler admin: independent tenant, login + select-tenant 200"
21,auth-matrix.spec.ts,36,mobile,passed,RA multi-tenant login: response carries 2 availableTenants into workspace selector
22,auth-matrix.spec.ts,68,mobile,passed,"RB retailer portal login: client auth API 200, lands on /client"
23,auth-matrix.spec.ts,73,mobile,passed,RA retailer portal login at W1 portal: lands on /client
24,auth-matrix.spec.ts,78,mobile,passed,"wrong password on wholesaler login: API 401, stays on /login, no token persisted"
25,auth-matrix.spec.ts,96,mobile,passed,"wrong password on retailer portal: API 401, stays on portal, neutral message"
26,auth-matrix.spec.ts,112,mobile,passed,/select-workspace direct access without navigation state redirects to /login
27,auth-matrix.spec.ts,118,mobile,passed,logout clears mpango-auth session and returns to /login
28,phase1-routes.spec.ts,10,desktop,passed,backend health endpoints are 200 (live/ready)
29,phase1-routes.spec.ts,17,desktop,passed,frontend serves the SPA shell
30,phase1-routes.spec.ts,24,desktop,passed,wholesaler routes redirect anonymous users to /login
31,phase1-routes.spec.ts,32,desktop,passed,retailer /client routes redirect anonymous users to retailer portal or /login
32,phase1-routes.spec.ts,37,desktop,passed,/client/login alias redirects to /retail/login preserving w
33,phase1-routes.spec.ts,42,desktop,passed,public auth pages are reachable anonymously
34,phase1-routes.spec.ts,54,desktop,passed,unknown route renders the 404 page (no crash)
35,phase1-routes.spec.ts,59,desktop,passed,invalid portal code shows controlled invalid-portal state with zero login API calls
36,phase1-routes.spec.ts,10,tablet,passed,backend health endpoints are 200 (live/ready)
37,phase1-routes.spec.ts,17,tablet,passed,frontend serves the SPA shell
38,phase1-routes.spec.ts,24,tablet,passed,wholesaler routes redirect anonymous users to /login
39,phase1-routes.spec.ts,32,tablet,passed,retailer /client routes redirect anonymous users to retailer portal or /login
40,phase1-routes.spec.ts,37,tablet,passed,/client/login alias redirects to /retail/login preserving w
41,phase1-routes.spec.ts,42,tablet,passed,public auth pages are reachable anonymously
42,phase1-routes.spec.ts,54,tablet,passed,unknown route renders the 404 page (no crash)
43,phase1-routes.spec.ts,59,tablet,passed,invalid portal code shows controlled invalid-portal state with zero login API calls
44,phase1-routes.spec.ts,10,mobile,passed,backend health endpoints are 200 (live/ready)
45,phase1-routes.spec.ts,17,mobile,passed,frontend serves the SPA shell
46,phase1-routes.spec.ts,24,mobile,passed,wholesaler routes redirect anonymous users to /login
47,phase1-routes.spec.ts,32,mobile,passed,retailer /client routes redirect anonymous users to retailer portal or /login
48,phase1-routes.spec.ts,37,mobile,passed,/client/login alias redirects to /retail/login preserving w
49,phase1-routes.spec.ts,42,mobile,passed,public auth pages are reachable anonymously
50,phase1-routes.spec.ts,54,mobile,passed,unknown route renders the 404 page (no crash)
51,phase1-routes.spec.ts,59,mobile,passed,invalid portal code shows controlled invalid-portal state with zero login API calls
52,phase2-identity.spec.ts,14,desktop,passed,legacy localStorage keys (access_token/user) do NOT authenticate
53,phase2-identity.spec.ts,28,desktop,passed,forged mpango-auth with invalid JWT is rejected by the backend
54,phase2-identity.spec.ts,42,desktop,passed,REAL mpango-auth format restores a wholesaler session (hydration)
55,phase2-identity.spec.ts,65,desktop,passed,REAL mpango-auth format restores a retailer session at /client
56,phase2-identity.spec.ts,86,desktop,passed,login form submits real credentials to the real API (request body audit)
57,phase2-identity.spec.ts,14,tablet,passed,legacy localStorage keys (access_token/user) do NOT authenticate
58,phase2-identity.spec.ts,28,tablet,passed,forged mpango-auth with invalid JWT is rejected by the backend
59,phase2-identity.spec.ts,42,tablet,passed,REAL mpango-auth format restores a wholesaler session (hydration)
60,phase2-identity.spec.ts,65,tablet,passed,REAL mpango-auth format restores a retailer session at /client
61,phase2-identity.spec.ts,86,tablet,passed,login form submits real credentials to the real API (request body audit)
62,phase2-identity.spec.ts,14,mobile,passed,legacy localStorage keys (access_token/user) do NOT authenticate
63,phase2-identity.spec.ts,28,mobile,passed,forged mpango-auth with invalid JWT is rejected by the backend
64,phase2-identity.spec.ts,42,mobile,passed,REAL mpango-auth format restores a wholesaler session (hydration)
65,phase2-identity.spec.ts,65,mobile,passed,REAL mpango-auth format restores a retailer session at /client
66,phase2-identity.spec.ts,86,mobile,passed,login form submits real credentials to the real API (request body audit)
67,phase3-wholesaler.spec.ts,28,desktop,passed,wholesaler page / renders authenticated content
68,phase3-wholesaler.spec.ts,28,desktop,passed,wholesaler page /orders renders authenticated content
69,phase3-wholesaler.spec.ts,28,desktop,passed,wholesaler page /inventory renders authenticated content
70,phase3-wholesaler.spec.ts,28,desktop,passed,wholesaler page /skus renders authenticated content
71,phase3-wholesaler.spec.ts,28,desktop,passed,wholesaler page /retailers renders authenticated content
72,phase3-wholesaler.spec.ts,28,desktop,passed,wholesaler page /finance renders authenticated content
73,phase3-wholesaler.spec.ts,28,desktop,passed,wholesaler page /payments renders authenticated content
74,phase3-wholesaler.spec.ts,28,desktop,passed,wholesaler page /declarations renders authenticated content
75,phase3-wholesaler.spec.ts,41,desktop,passed,dashboard shows the app shell with user context
76,phase3-wholesaler.spec.ts,46,desktop,passed,wholesaler cannot open retailer /client routes (boundary redirect)
77,phase3-wholesaler.spec.ts,52,desktop,passed,logout returns to /login and clears the session
78,phase3-wholesaler.spec.ts,28,tablet,passed,wholesaler page / renders authenticated content
79,phase3-wholesaler.spec.ts,28,tablet,passed,wholesaler page /orders renders authenticated content
80,phase3-wholesaler.spec.ts,28,tablet,passed,wholesaler page /inventory renders authenticated content
81,phase3-wholesaler.spec.ts,28,tablet,passed,wholesaler page /skus renders authenticated content
82,phase3-wholesaler.spec.ts,28,tablet,passed,wholesaler page /retailers renders authenticated content
83,phase3-wholesaler.spec.ts,28,tablet,passed,wholesaler page /finance renders authenticated content
84,phase3-wholesaler.spec.ts,28,tablet,passed,wholesaler page /payments renders authenticated content
85,phase3-wholesaler.spec.ts,28,tablet,passed,wholesaler page /declarations renders authenticated content
86,phase3-wholesaler.spec.ts,41,tablet,passed,dashboard shows the app shell with user context
87,phase3-wholesaler.spec.ts,46,tablet,passed,wholesaler cannot open retailer /client routes (boundary redirect)
88,phase3-wholesaler.spec.ts,52,tablet,passed,logout returns to /login and clears the session
89,phase3-wholesaler.spec.ts,28,mobile,passed,wholesaler page / renders authenticated content
