capability_id,actor,business_action,current_route_or_ui,service_or_model,required_permission,tenant_context_source,data_scope,current_status,target_mvp_contract,gap_severity,evidence_file_line,test_evidence,recommended_slice,finding_id
DC12R0-C001,Wholesaler owner/admin,Create retailer invitation,POST /api/v1/invitations,services/invitation_service.py:24-40 + models/invitation.py:14-71,invitations:create,JWT token.tenant_id,Single tenant (inviting wholesaler),IMPLEMENTED,Wholesaler invites a retailer into a private relationship,P3,api/v1/invitations.py:31-57; services/invitation_service.py:32,Route classified public in test_route_authorization_policy.py:149-150; no direct lifecycle test,DC-12R1,
DC12R0-C002,Retailer Operator MVP,Accept invitation & register,POST /api/v1/retailers/register,services/retailer_service.py:25-85,Public (no auth),n/a until binding created,Public schema (cross-tenant resolve),PARTIAL,Retailer accepts a single-use invitation token bound to one wholesaler,P1,api/v1/retailers.py:50-80; services/retailer_service.py:44-51,test_dc1g happy-path only; NOT_ACTIVE/EXPIRED/PHONE_MISMATCH/double-use branches untested,DC-12R1,F-04
DC12R0-C003,Retailer Operator MVP,Pre-flight invitation lookup,GET /api/v1/invitations/{code},services/invitation_service.py:45-64,Public,n/a,Public single invitation,PARTIAL,Token must NOT travel in URL,P2,api/v1/invitations.py:60-88,Token in URL PATH segment (log/history exposure); no query-string route,DC-12R2,F-08
DC12R0-C004,Retailer Operator MVP,Invitation expiry enforcement,n/a (service check),services/retailer_service.py:47-48 + invitation_service.py:61-62,n/a,n/a,Single invitation,PARTIAL,Invitations must expire,P1,models/invitation.py:54-58 (expires_at nullable),expires_at OPTIONAL — invitations without it never expire; no expiry-rejection test,DC-12R1,F-04
DC12R0-C005,Retailer Operator MVP,Invitation single-use enforcement,n/a (status flip),repositories/invitation_repository.py:39-51 + retailer_service.py:44,n/a,n/a,Single invitation,PARTIAL,Single-use must be race-safe,P1,retailer_service.py:44-45 then mark_used at 78-83,TOCTOU race: status read then mark_used without SELECT FOR UPDATE; untested,DC-12R1,F-04
DC12R0-C006,Wholesaler owner/admin,Revoke invitation,n/a,n/a,invitations:revoke (not defined),n/a,Single invitation,MISSING,Wholesaler must be able to revoke an outstanding invitation,P1,grep: no revoked_at column; no revoke endpoint; status=revoked enumerated models/invitation.py:33-39 but never written,No revoke path; only direct DB edit,DC-12R1,F-04
DC12R0-C007,Retailer Operator MVP,Obtain login-capable identity after invite,n/a (NOT created),services/retailer_service.py:53-83,n/a,n/a,Needs tenant users row + credential,MISSING,Invite acceptance must create a login-capable retailer identity (tenant users row + credential setup token),P1,services/retailer_service.py:53-83 creates only retailers+bindings NO users row; crud/user.py:29-100 login scans tenant users tables,No test asserts a retailer can log in after accepting an invitation; login returns INVALID_CREDENTIALS,DC-12R1,F-01
DC12R0-C008,Retailer Operator MVP,Email/phone identity-key resolution,n/a,services/retailer_service.py:53-61 vs api/v1/client/dependencies.py:76-92,n/a,n/a,Phone (registration) vs email (login/client resolve),STALE_TEST_CONTRACT,One authoritative identity key for retailers across registration/login/client resolve,P1,registration keys on phone (models/retailer.py:16); login + client resolver key on email (crud/user.py:64-81; client/dependencies.py:76-92),No test covers the phone/email divergence; dc1g uses phone-only happy path,DC-12R1,F-02
DC12R0-C009,Retailer Operator MVP,Login without disclosing other wholesalers,POST /api/v1/auth/login,api/v1/auth.py:240-313 + crud/user.py:29-100,Public,n/a (identity token),Cross-tenant scan returns ALL verified tenants,STALE_TEST_CONTRACT,From a wholesaler-specific entry R must NOT learn of other wholesalers (single consolidated P1),P1,api/v1/auth.py:271-278 returns available_tenants (id/code/name) for ALL verified tenants; login ignores tenant_code; frontend WorkspaceSelectorPage.tsx:98-99 renders names,test_auth_regressions mocks passwords; no test asserts non-disclosure of other wholesalers,DC-12R1,F-03
DC12R0-C010,Retailer Operator MVP,Select tenant (context phase),POST /api/v1/auth/select-tenant,api/v1/auth.py:318-427,Identity JWT,signed tmap claim,Single requested tenant,IMPLEMENTED,tmap resolves correct per-tenant user_id; access denied if tenant not in tmap,P3,api/v1/auth.py:360-387 (tmap guard + active re-check),Boundary covered by test_route_authorization_policy,DC-12R2,
