test_node,real_function,input_counterexample,expected_category,actual_ping_calls,actual_delete_calls,actual_scan_calls,actual_scan_iter_calls,why_cannot_prove_product_cache_isolation_fixed
test_r1_guard_redis_ownership_accepts_normalized_loopback_binding,verify_task_redis_ownership_sync(client),client binding matches declared REDIS_URL (localhost vs 127.0.0.1),PASS (verified host:port),0,0,0,0,Uses _FakeRedisClient; does not exercise real core.cache.get_redis_client() or real Redis pool population
test_r1_guard_redis_ownership_refuses_client_binding_mismatches[port],verify_task_redis_ownership_sync(client),client port=60213 vs declared 60212,GuardRefused,0,0,0,0,Uses _FakeRedisClient; does not exercise real Redis pool population or production cache decorator
test_r1_guard_redis_ownership_refuses_client_binding_mismatches[db],verify_task_redis_ownership_sync(client),client db=14 vs declared 15,GuardRefused,0,0,0,0,Uses _FakeRedisClient; no real Redis network path
test_r1_guard_redis_ownership_refuses_client_binding_mismatches[scheme],verify_task_redis_ownership_sync(client),client ssl=True vs declared redis://,GuardRefused,0,0,0,0,Uses _FakeRedisClient with hand-crafted connection_class; does not prove real redis-py SSLConnection detection
test_r1_guard_redis_ownership_refuses_incomplete_client_binding[missing host],verify_task_redis_ownership_sync(client),client host=None,GuardRefused,0,0,0,0,Uses _FakeRedisClient; no real pool inspection
test_r1_guard_redis_ownership_refuses_incomplete_client_binding[missing port],verify_task_redis_ownership_sync(client),client port=None,GuardRefused,0,0,0,0,Uses _FakeRedisClient; no real pool inspection
test_r1_guard_redis_ownership_refuses_incomplete_client_binding[missing db],verify_task_redis_ownership_sync(client),client db=None,GuardRefused,0,0,0,0,Uses _FakeRedisClient; no real pool inspection
test_r1_guard_redis_ownership_refuses_missing_connection_pool,verify_task_redis_ownership_sync(client),client=object() (no connection_pool),GuardRefused,0,0,0,0,Unit negative control only; no real Redis client involved
test_r1_guard_redis_ownership_refuses_missing_connection_kwargs,verify_task_redis_ownership_sync(client),client pool without connection_kwargs,GuardRefused,0,0,0,0,Unit negative control only; no real Redis client involved
test_r1_guard_redis_ownership_refuses_docker_metadata_mismatches[label],verify_task_redis_ownership_sync(client),docker label mpango.owner mismatch,GuardRefused,0,0,0,0,Docker inspect is mocked; does not prove real docker label mapping works
test_r1_guard_redis_ownership_refuses_docker_metadata_mismatches[image],verify_task_redis_ownership_sync(client),docker image postgres:16-alpine,GuardRefused,0,0,0,0,Docker inspect is mocked; no real container inspection
test_r1_guard_redis_ownership_refuses_docker_metadata_mismatches[port],verify_task_redis_ownership_sync(client),docker port mapping 60213 vs declared 60212,GuardRefused,0,0,0,0,Docker inspect is mocked; no real container inspection
test_r1_guard_sku_list_cache_key_shape_is_exact,_sku_list_cache_key(q),q=R1ISOSHAREDAB12CD34,Exact key skus_list:1:10:None:R1ISOSHAREDAB12CD34,N/A,N/A,N/A,N/A,Proves key shape formula only; does not prove tenant isolation in production cache
test_r1_guard_redis_eviction_delete_helper_accepts_bound_client_and_exact_key,_delete_sku_list_cache_keys([key]),bound client + exact key,deleted=1; ping=1; delete=1; scan=0; scan_iter=0; keys=0,1,1,0,0,Monkeypatches core.cache.get_redis_client; does not prove production get_redis_client() returns same pool fields
test_r1_guard_redis_eviction_delete_helper_refuses_cached_client_binding_mismatch_before_ping,_delete_sku_list_cache_keys([key]),client port=60213 vs declared 60212,refused-ownership; ping=0; delete=0; scan=0; scan_iter=0; keys=0,0,0,0,0,Monkeypatches get_redis_client; no real cached client from production initialization
test_r1_guard_redis_eviction_delete_helper_reports_unreachable_after_proven_binding,_delete_sku_list_cache_keys([key]),ping raises ConnectionError,cache-unreachable(ConnectionError); ping=1; delete=0; scan=0; scan_iter=0; keys=0,1,0,0,0,Monkeypatches get_redis_client; does not prove real ping path or production unreachable handling
test_r1_guard_redis_eviction_delete_helper_refuses_missing_pool_before_ping,_delete_sku_list_cache_keys([key]),client=object() (no pool),refused-ownership; ping=0; delete=0; scan=0; scan_iter=0; keys=0,0,0,0,0,Unit negative control; no real Redis client involved
test_r1_control_tenant_isolation_same_query_same_code_db_only,_delete_sku_list_cache_keys + assert_listing_exactly_own_tenant,real HTTP + exact cache key eviction,Each tenant sees only own record (200),varies,varies,0,0,Proves DB isolation and helper sequence under real HTTP; does NOT prove core/cache.py decorator is tenant-scoped; skips or fail-opens when ownership unproven/cache unreachable
test_r1_red_diagnostic_sku_list_cache_not_tenant_scoped,_delete_sku_list_cache_keys + assert_listing_exactly_own_tenant,real HTTP + same cache key + NO eviction,NAMED RED when cache reachable; SKIP when unreachable,N/A,N/A,0,0,Explicitly expected to FAIL (registered risk); reproduces leak but does not fix it; proves current cache key is NOT tenant-scoped
