r2_status,nodeid,file_rerun_status,r3_classification,product_defect,source_evidence,runtime_evidence,notes
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_created_at_not_null,failed,confirmed_product_defect,yes,backend/tests/test_payments_schema_contract.py:563,dc11t0-r2-artifacts/r3-file-reruns/tests-testpaymentsschemacontract-py/pytest_output.txt,Fresh canonical DB exposes reachable t_dev but t_dev.retailer_prices lacks required live columns/constraints/indexes.
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_has_check_constraint,failed,confirmed_product_defect,yes,backend/tests/test_payments_schema_contract.py:586,dc11t0-r2-artifacts/r3-file-reruns/tests-testpaymentsschemacontract-py/pytest_output.txt,Fresh canonical DB exposes reachable t_dev but t_dev.retailer_prices lacks required live columns/constraints/indexes.
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_has_price,failed,confirmed_product_defect,yes,backend/tests/test_payments_schema_contract.py:555,dc11t0-r2-artifacts/r3-file-reruns/tests-testpaymentsschemacontract-py/pytest_output.txt,Fresh canonical DB exposes reachable t_dev but t_dev.retailer_prices lacks required live columns/constraints/indexes.
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_has_retailer_id,failed,confirmed_product_defect,yes,backend/tests/test_payments_schema_contract.py:539,dc11t0-r2-artifacts/r3-file-reruns/tests-testpaymentsschemacontract-py/pytest_output.txt,Fresh canonical DB exposes reachable t_dev but t_dev.retailer_prices lacks required live columns/constraints/indexes.
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_has_retailer_id_index,failed,confirmed_product_defect,yes,backend/tests/test_payments_schema_contract.py:594,dc11t0-r2-artifacts/r3-file-reruns/tests-testpaymentsschemacontract-py/pytest_output.txt,Fresh canonical DB exposes reachable t_dev but t_dev.retailer_prices lacks required live columns/constraints/indexes.
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_has_sku_id,failed,confirmed_product_defect,yes,backend/tests/test_payments_schema_contract.py:547,dc11t0-r2-artifacts/r3-file-reruns/tests-testpaymentsschemacontract-py/pytest_output.txt,Fresh canonical DB exposes reachable t_dev but t_dev.retailer_prices lacks required live columns/constraints/indexes.
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_has_sku_id_index,failed,confirmed_product_defect,yes,backend/tests/test_payments_schema_contract.py:599,dc11t0-r2-artifacts/r3-file-reruns/tests-testpaymentsschemacontract-py/pytest_output.txt,Fresh canonical DB exposes reachable t_dev but t_dev.retailer_prices lacks required live columns/constraints/indexes.
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_has_unique_constraint,failed,confirmed_product_defect,yes,backend/tests/test_payments_schema_contract.py:580,dc11t0-r2-artifacts/r3-file-reruns/tests-testpaymentsschemacontract-py/pytest_output.txt,Fresh canonical DB exposes reachable t_dev but t_dev.retailer_prices lacks required live columns/constraints/indexes.
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_is_deleted_not_null,failed,confirmed_product_defect,yes,backend/tests/test_payments_schema_contract.py:573,dc11t0-r2-artifacts/r3-file-reruns/tests-testpaymentsschemacontract-py/pytest_output.txt,Fresh canonical DB exposes reachable t_dev but t_dev.retailer_prices lacks required live columns/constraints/indexes.
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_price_not_null,failed,confirmed_product_defect,yes,backend/tests/test_payments_schema_contract.py:558,dc11t0-r2-artifacts/r3-file-reruns/tests-testpaymentsschemacontract-py/pytest_output.txt,Fresh canonical DB exposes reachable t_dev but t_dev.retailer_prices lacks required live columns/constraints/indexes.
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_retailer_id_not_null,failed,confirmed_product_defect,yes,backend/tests/test_payments_schema_contract.py:542,dc11t0-r2-artifacts/r3-file-reruns/tests-testpaymentsschemacontract-py/pytest_output.txt,Fresh canonical DB exposes reachable t_dev but t_dev.retailer_prices lacks required live columns/constraints/indexes.
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_sku_id_not_null,failed,confirmed_product_defect,yes,backend/tests/test_payments_schema_contract.py:550,dc11t0-r2-artifacts/r3-file-reruns/tests-testpaymentsschemacontract-py/pytest_output.txt,Fresh canonical DB exposes reachable t_dev but t_dev.retailer_prices lacks required live columns/constraints/indexes.
failed,tests/test_payments_schema_contract.py::TestLiveRetailerPricesContract::test_live_updated_at_not_null,failed,confirmed_product_defect,yes,backend/tests/test_payments_schema_contract.py:568,dc11t0-r2-artifacts/r3-file-reruns/tests-testpaymentsschemacontract-py/pytest_output.txt,Fresh canonical DB exposes reachable t_dev but t_dev.retailer_prices lacks required live columns/constraints/indexes.
failed,tests/test_s6_2_materialized_views.py::test_mv_sales_daily_has_unique_index,failed,confirmed_product_defect,yes,backend/tests/test_s6_2_materialized_views.py:162,dc11t0-r2-artifacts/r3-file-reruns/tests-tests62materializedviews-py/pytest_output.txt,Fresh tenant reporting schema lacks required mv_sales_daily or rpt_receivables_summary object; reproduced as UndefinedTable in isolated rerun.
failed,tests/test_s6_2_materialized_views.py::test_mv_sales_daily_staleness_then_refresh,failed,confirmed_product_defect,yes,backend/tests/test_s6_2_materialized_views.py:27,dc11t0-r2-artifacts/r3-file-reruns/tests-tests62materializedviews-py/pytest_output.txt,Fresh tenant reporting schema lacks required mv_sales_daily or rpt_receivables_summary object; reproduced as UndefinedTable in isolated rerun.
failed,tests/test_s6_2_materialized_views.py::test_receivables_summary_is_realtime,failed,confirmed_product_defect,yes,backend/tests/test_s6_2_materialized_views.py:192,dc11t0-r2-artifacts/r3-file-reruns/tests-tests62materializedviews-py/pytest_output.txt,Fresh tenant reporting schema lacks required mv_sales_daily or rpt_receivables_summary object; reproduced as UndefinedTable in isolated rerun.
failed,tests/test_s6_3_dashboard_api.py::test_query_builder_empty_mv_returns_zeros,failed,confirmed_product_defect,yes,backend/tests/test_s6_3_dashboard_api.py:310,dc11t0-r2-artifacts/r3-file-reruns/tests-tests63dashboardapi-py/pytest_output.txt,Dashboard query builder hits missing reporting views in fresh tenant schema.
failed,tests/test_s6_3_dashboard_api.py::test_query_builder_fetch_all_receivables,failed,confirmed_product_defect,yes,backend/tests/test_s6_3_dashboard_api.py:260,dc11t0-r2-artifacts/r3-file-reruns/tests-tests63dashboardapi-py/pytest_output.txt,Dashboard query builder hits missing reporting views in fresh tenant schema.
failed,tests/test_s6_3_dashboard_api.py::test_query_builder_fetch_kpi_summary,failed,confirmed_product_defect,yes,backend/tests/test_s6_3_dashboard_api.py:237,dc11t0-r2-artifacts/r3-file-reruns/tests-tests63dashboardapi-py/pytest_output.txt,Dashboard query builder hits missing reporting views in fresh tenant schema.
failed,tests/test_s6_3_dashboard_api.py::test_query_builder_fetch_time_series,failed,confirmed_product_defect,yes,backend/tests/test_s6_3_dashboard_api.py:285,dc11t0-r2-artifacts/r3-file-reruns/tests-tests63dashboardapi-py/pytest_output.txt,Dashboard query builder hits missing reporting views in fresh tenant schema.
failed,tests/test_s6_3_dashboard_api.py::test_query_builder_reporting_user_access,failed,confirmed_product_defect,yes,backend/tests/test_s6_3_dashboard_api.py:349,dc11t0-r2-artifacts/r3-file-reruns/tests-tests63dashboardapi-py/pytest_output.txt,Dashboard query builder hits missing reporting views in fresh tenant schema.
failed,tests/test_s6_p_reporting_constraints.py::test_reporting_user_can_select,failed,confirmed_product_defect,yes,backend/tests/test_s6_p_reporting_constraints.py:173,dc11t0-r2-artifacts/r3-file-reruns/tests-tests6preportingconstraints-py/pytest_output.txt,"Reporting-role tenant schema lacks ledger_entries, so read/permission checks receive UndefinedTable instead of expected semantics."
failed,tests/test_s6_p_reporting_constraints.py::test_reporting_user_cannot_delete,failed,confirmed_product_defect,yes,backend/tests/test_s6_p_reporting_constraints.py:147,dc11t0-r2-artifacts/r3-file-reruns/tests-tests6preportingconstraints-py/pytest_output.txt,"Reporting-role tenant schema lacks ledger_entries, so read/permission checks receive UndefinedTable instead of expected semantics."
failed,tests/test_s6_p_reporting_constraints.py::test_reporting_user_cannot_update,failed,confirmed_product_defect,yes,backend/tests/test_s6_p_reporting_constraints.py:120,dc11t0-r2-artifacts/r3-file-reruns/tests-tests6preportingconstraints-py/pytest_output.txt,"Reporting-role tenant schema lacks ledger_entries, so read/permission checks receive UndefinedTable instead of expected semantics."
failed,tests/test_u1r1_bootstrap_completeness.py::TestSidebarApiSmoke::test_sidebar_endpoint_returns_200[GET-/api/v1/dashboards/kpi/summary-Dashboard],failed,confirmed_product_defect,yes,backend/tests/test_u1r1_bootstrap_completeness.py:733,dc11t0-r2-artifacts/r3-file-reruns/tests-testu1r1bootstrapcompleteness-py/pytest_output.txt,Runtime GET /api/v1/dashboards/kpi/summary returns 500 and exposes raw SQL/UndefinedTable detail for missing mv_sales_daily.
