tests.test_alembic_migrations.TestAlembicMigrationIsolation.test_migration_creates_tenant_schema	Requires running Alembic CLI - integration test
tests.test_alembic_migrations.TestAlembicMigrationIsolation.test_public_migration_does_not_create_tenant_tables	Requires running Alembic CLI - integration test
tests.test_alembic_migrations.TestAlembicMigrationIsolation.test_tenant_migration_does_not_affect_public_schema	Requires running Alembic CLI - integration test
tests.test_dc11t4h_receivable_collection_integrity.test_migration_fails_closed_for_invalid_credit_sale_history[credit_amount0-order_total0-paid]	TEST_DATABASE_URL is required for migration database tests
tests.test_dc11t4h_receivable_collection_integrity.test_migration_fails_closed_for_invalid_credit_sale_history[credit_amount1-order_total1-confirmed]	TEST_DATABASE_URL is required for migration database tests
tests.test_dc11t4h_receivable_collection_integrity.test_migration_fails_closed_for_over_collected_credit_history	TEST_DATABASE_URL is required for migration database tests
tests.test_dc11t4h_receivable_collection_integrity.test_migration_fails_closed_for_overpaid_ordinary_order	TEST_DATABASE_URL is required for migration database tests
tests.test_dc11t4h_receivable_collection_integrity.test_migration_fails_closed_for_registry_schema_mismatch	TEST_DATABASE_URL is required for migration database tests
tests.test_dc11t4h_receivable_collection_integrity.test_migration_repairs_legacy_negative_cash_balance_and_adds_check	TEST_DATABASE_URL is required for migration database tests
tests.test_payments_schema_contract.TestLiveRetailerPricesContract.test_live_created_at_not_null	set PAYMENTS_SCHEMA_REQUIRE_LIVE=1 for prepared-schema verification
tests.test_payments_schema_contract.TestLiveRetailerPricesContract.test_live_has_check_constraint	set PAYMENTS_SCHEMA_REQUIRE_LIVE=1 for prepared-schema verification
tests.test_payments_schema_contract.TestLiveRetailerPricesContract.test_live_has_price	set PAYMENTS_SCHEMA_REQUIRE_LIVE=1 for prepared-schema verification
tests.test_payments_schema_contract.TestLiveRetailerPricesContract.test_live_has_retailer_id	set PAYMENTS_SCHEMA_REQUIRE_LIVE=1 for prepared-schema verification
tests.test_payments_schema_contract.TestLiveRetailerPricesContract.test_live_has_retailer_id_index	set PAYMENTS_SCHEMA_REQUIRE_LIVE=1 for prepared-schema verification
tests.test_payments_schema_contract.TestLiveRetailerPricesContract.test_live_has_sku_id	set PAYMENTS_SCHEMA_REQUIRE_LIVE=1 for prepared-schema verification
tests.test_payments_schema_contract.TestLiveRetailerPricesContract.test_live_has_sku_id_index	set PAYMENTS_SCHEMA_REQUIRE_LIVE=1 for prepared-schema verification
tests.test_payments_schema_contract.TestLiveRetailerPricesContract.test_live_has_unique_constraint	set PAYMENTS_SCHEMA_REQUIRE_LIVE=1 for prepared-schema verification
tests.test_payments_schema_contract.TestLiveRetailerPricesContract.test_live_is_deleted_not_null	set PAYMENTS_SCHEMA_REQUIRE_LIVE=1 for prepared-schema verification
tests.test_payments_schema_contract.TestLiveRetailerPricesContract.test_live_price_not_null	set PAYMENTS_SCHEMA_REQUIRE_LIVE=1 for prepared-schema verification
tests.test_payments_schema_contract.TestLiveRetailerPricesContract.test_live_retailer_id_not_null	set PAYMENTS_SCHEMA_REQUIRE_LIVE=1 for prepared-schema verification
tests.test_payments_schema_contract.TestLiveRetailerPricesContract.test_live_sku_id_not_null	set PAYMENTS_SCHEMA_REQUIRE_LIVE=1 for prepared-schema verification
tests.test_payments_schema_contract.TestLiveRetailerPricesContract.test_live_updated_at_not_null	set PAYMENTS_SCHEMA_REQUIRE_LIVE=1 for prepared-schema verification
tests.test_payments_schema_contract.TestLiveSchemaContract.test_live_has_order_id_index	set PAYMENTS_SCHEMA_REQUIRE_LIVE=1 for prepared-schema verification
tests.test_payments_schema_contract.TestLiveSchemaContract.test_live_has_retailer_id	set PAYMENTS_SCHEMA_REQUIRE_LIVE=1 for prepared-schema verification
