Stage,Project,Phase,Test Title,Outcome,Severity,Role,Notes
stage1-auth-desktop,desktop,Auth Matrix,"W1 single-tenant wholesaler admin: login API 200, auto select-tenant 200, lands on /",PASSED,INFO,,
stage1-auth-desktop,desktop,Auth Matrix,"W2 second wholesaler admin: independent tenant, login + select-tenant 200",PASSED,INFO,,
stage1-auth-desktop,desktop,Auth Matrix,RA multi-tenant login: response carries 2 availableTenants into workspace selector,FAILED,P1,,"TimeoutError: page.waitForURL: Timeout 20000ms exceeded. | =========================== logs =========================== | waiting for navigation to ""**/select-workspace"" until ""load"" | ==============="
stage1-auth-desktop,desktop,Auth Matrix,"RB retailer portal login: client auth API 200, lands on /client",PASSED,INFO,,
stage1-auth-desktop,desktop,Auth Matrix,RA retailer portal login at W1 portal: lands on /client,PASSED,INFO,,
stage1-auth-desktop,desktop,Auth Matrix,"wrong password on wholesaler login: API 401, stays on /login, no token persisted",FAILED,P1,,Error: [2mexpect([22m[31mlocator[39m[2m).[22mtoBeVisible[2m([22m[2m)[22m failed |  | Locator: locator('text=Invalid credentials').first() | Expected: visible | Timeout: 10000ms | Error: elem
stage1-auth-desktop,desktop,Auth Matrix,"wrong password on retailer portal: API 401, stays on portal, neutral message",PASSED,INFO,,
stage1-auth-desktop,desktop,Auth Matrix,/select-workspace direct access without navigation state redirects to /login,PASSED,INFO,,
stage1-auth-desktop,desktop,Auth Matrix,logout clears mpango-auth session and returns to /login,PASSED,INFO,,
stage2-phases-desktop,desktop,Phase 1,backend health endpoints are 200 (live/ready),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 1,frontend serves the SPA shell,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 1,wholesaler routes redirect anonymous users to /login,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 1,retailer /client routes redirect anonymous users to retailer portal or /login,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 1,/client/login alias redirects to /retail/login preserving w,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 1,public auth pages are reachable anonymously,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 1,unknown route renders the 404 page (no crash),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 1,invalid portal code shows controlled invalid-portal state with zero login API calls,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 2,legacy localStorage keys (access_token/user) do NOT authenticate,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 2,forged mpango-auth with invalid JWT is rejected by the backend,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 2,REAL mpango-auth format restores a wholesaler session (hydration),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 2,REAL mpango-auth format restores a retailer session at /client,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 2,login form submits real credentials to the real API (request body audit),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 3,wholesaler page / renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 3,wholesaler page /orders renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 3,wholesaler page /inventory renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 3,wholesaler page /skus renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 3,wholesaler page /retailers renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 3,wholesaler page /finance renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 3,wholesaler page /payments renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 3,wholesaler page /declarations renders authenticated content,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 3,dashboard shows the app shell with user context,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 3,wholesaler cannot open retailer /client routes (boundary redirect),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 3,logout returns to /login and clears the session,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 4,retailer portal: catalog page renders supplier products incl. the setup SKU,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 4,retailer creates an order through the real API (journey precondition),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 4,retailer orders page lists own orders via the browser,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 4,financial idempotency: repeated declaration with the same key produces ZERO extra writes,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 4,UI double-click on declare submit creates exactly one declaration (browser evidence),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 4,retailer finance/payments/declarations pages render without errors,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 4,retailer print page issues NO mutating requests,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 5,cross-retailer: RB cannot read RA order by id (API isolation),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 5,cross-tenant: W2 admin retailer list does NOT contain W1-only retailer RB,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 5,cross-tenant: RA W2-context cannot use W1-only data paths,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 5,malformed IDs return neutral structured errors (no internals leaked),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 5,unauthenticated API access is rejected with structured 401 (no leak),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 5,browser: RB portal session never exposes W2 tenant data,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 5,RB orders page contains no RA-created orders (page-level isolation),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 6,"wholesaler dashboard: no horizontal overflow, no console/page errors",BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 6,wholesaler orders page: no horizontal overflow,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 6,"retailer catalog: no horizontal overflow, no console/page errors",BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 6,retailer orders page: no horizontal overflow,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 6,login forms have labels and keyboard-accessible inputs,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 6,no unexpected network failures during a login journey,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage2-phases-desktop,desktop,Phase 6,print stub: window.print callable on print pages without errors,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Auth Matrix,"W1 single-tenant wholesaler admin: login API 200, auto select-tenant 200, lands on /",BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Auth Matrix,"W2 second wholesaler admin: independent tenant, login + select-tenant 200",BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Auth Matrix,RA multi-tenant login: response carries 2 availableTenants into workspace selector,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Auth Matrix,"RB retailer portal login: client auth API 200, lands on /client",BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Auth Matrix,RA retailer portal login at W1 portal: lands on /client,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Auth Matrix,"wrong password on wholesaler login: API 401, stays on /login, no token persisted",BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Auth Matrix,"wrong password on retailer portal: API 401, stays on portal, neutral message",BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Auth Matrix,/select-workspace direct access without navigation state redirects to /login,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Auth Matrix,logout clears mpango-auth session and returns to /login,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Auth Matrix,"W1 single-tenant wholesaler admin: login API 200, auto select-tenant 200, lands on /",BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Auth Matrix,"W2 second wholesaler admin: independent tenant, login + select-tenant 200",BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Auth Matrix,RA multi-tenant login: response carries 2 availableTenants into workspace selector,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Auth Matrix,"RB retailer portal login: client auth API 200, lands on /client",BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Auth Matrix,RA retailer portal login at W1 portal: lands on /client,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Auth Matrix,"wrong password on wholesaler login: API 401, stays on /login, no token persisted",BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Auth Matrix,"wrong password on retailer portal: API 401, stays on portal, neutral message",BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Auth Matrix,/select-workspace direct access without navigation state redirects to /login,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Auth Matrix,logout clears mpango-auth session and returns to /login,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 1,backend health endpoints are 200 (live/ready),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 1,frontend serves the SPA shell,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 1,wholesaler routes redirect anonymous users to /login,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 1,retailer /client routes redirect anonymous users to retailer portal or /login,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 1,/client/login alias redirects to /retail/login preserving w,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 1,public auth pages are reachable anonymously,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 1,unknown route renders the 404 page (no crash),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,tablet,Phase 1,invalid portal code shows controlled invalid-portal state with zero login API calls,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 1,backend health endpoints are 200 (live/ready),BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 1,frontend serves the SPA shell,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 1,wholesaler routes redirect anonymous users to /login,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 1,retailer /client routes redirect anonymous users to retailer portal or /login,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 1,/client/login alias redirects to /retail/login preserving w,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
stage3-matrix-tablet-mobile,mobile,Phase 1,public auth pages are reachable anonymously,BLOCKED,-,,BLOCKED: auth matrix gate failed (upstream product defect PW1R1-D1); not an independent product failure
