finding_id,phase,category,severity,description,evidence,status
F1,Phase 1,Proof Gate,INFO,"Candidate == remote branch tip","cb352079 == origin/zcode/dc12r1-mvp-l1-j1-h2-b-r2-r4-r2-b1-r2-app-settle-eol-portability-2026-08-24",PASS
F2,Phase 1,Proof Gate,INFO,"candidate^ == e65e9a7f (B1-R1 candidate)","git rev-parse cb352079^ = e65e9a7f",PASS
F3,Phase 1,Proof Gate,INFO,"B1-R2 delta exactly 5 authorized files in j1h2b-forgot-reset/",".gitattributes, forgot-reset.spec.ts, validate-static.mjs, README.md, FROZEN-REPORT.md",PASS
F4,Phase 1,Proof Gate,INFO,"Product paths byte-identical to 8c462170","git diff --name-only 8c462170..cb352079 shows only j1h2b-forgot-reset/ and ai-ledger/ files",PASS
F5,Phase 1,Proof Gate,INFO,"Harness contains exactly 22 files","git ls-tree -r --name-only cb352079 | Where-Object { $_ -like 'j1h2b-forgot-reset/*' } | Measure-Object = 22",PASS
F6,Phase 2,Inventory,INFO,"Protocol CSV blob byte-identical to protocol commit 132cf7ed","git hash-object = 29a2bdd30b8ffd9142404dd530486d7fa6fd1f15",PASS
F7,Phase 2,Inventory,INFO,"CSV strict parse: 30 lines (header + 29 rows), 15 columns per row",Header split yields exactly 15 expected column names,PASS
F8,Phase 2,Inventory,INFO,"24 browser nodes + 5 non-browser nodes",browser: F1-D/T/M F2-D/T/M F3 F4 F5 R1 R2 R3 R4 R5 R7-POLICY R7-POLICY-M R8 R8-M R9 R10 R10-M R11 R12 M1; non-browser: F6 R6 M2 R13 RT0,PASS
F9,Phase 2,Inventory,INFO,"playwright --list yields exactly 24 tests in 1 file, ordered-equal with CSV browser rows","pnpm exec playwright test --list: 24 tests in 1 file",PASS
F10,Phase 2,Fail-Stop,INFO,"Single spec file: tests/forgot-reset.spec.ts",tests/ directory contains exactly one .spec.ts file,PASS
F11,Phase 2,Fail-Stop,INFO,"Single outer serial describe wrapping all 24 nodes",test.describe.configure({ mode: 'serial' }) with 24 test() nodes,PASS
F12,Phase 2,Fail-Stop,INFO,"fullyParallel:false, workers:1, retries:0, maxFailures:1",playwright.config.ts explicit declarations,PASS
