"r2_status","nodeid","file_rerun_status","r3_classification","product_defect","source_evidence","runtime_evidence","notes"
"failed","tests/business/test_s4e_stock_reservation_lifecycle_audit.py::test_concurrent_fulfill_consumes_reservation_once_and_writes_one_movement","failed","STALE_TEST_CONTRACT","no","backend/tests/business/test_s4e_stock_reservation_lifecycle_audit.py:515","dc11t0-r2-artifacts/r3-file-reruns/tests-business-tests4estockreservationlifecycleaudit-py/pytest_output.txt","Test calls legacy direct payment path without structured payment body; product rejects with PAYMENT_BODY_REQUIRED 400."
"failed","tests/business/test_s4e_stock_reservation_lifecycle_audit.py::test_fulfillment_consumes_only_this_order_reservation_and_deducts_on_hand","failed","STALE_TEST_CONTRACT","no","backend/tests/business/test_s4e_stock_reservation_lifecycle_audit.py:421","dc11t0-r2-artifacts/r3-file-reruns/tests-business-tests4estockreservationlifecycleaudit-py/pytest_output.txt","Test calls legacy direct payment path without structured payment body; product rejects with PAYMENT_BODY_REQUIRED 400."
"failed","tests/business/test_s4e_stock_reservation_lifecycle_audit.py::test_reserve_release_and_consume_movement_boundaries","failed","STALE_TEST_CONTRACT","no","backend/tests/business/test_s4e_stock_reservation_lifecycle_audit.py:588","dc11t0-r2-artifacts/r3-file-reruns/tests-business-tests4estockreservationlifecycleaudit-py/pytest_output.txt","Test calls legacy direct payment path without structured payment body; product rejects with PAYMENT_BODY_REQUIRED 400."
"failed","tests/business/test_s4e_stock_reservation_lifecycle_audit.py::test_return_restores_on_hand_without_creating_reservation","failed","STALE_TEST_CONTRACT","no","backend/tests/business/test_s4e_stock_reservation_lifecycle_audit.py:491","dc11t0-r2-artifacts/r3-file-reruns/tests-business-tests4estockreservationlifecycleaudit-py/pytest_output.txt","Test calls legacy direct payment path without structured payment body; product rejects with PAYMENT_BODY_REQUIRED 400."
"failed","tests/business/test_s4f_business_invariant_closeout.py::test_cancel_confirmed_releases_reservation_and_paid_or_fulfilled_cancel_is_rejected","failed","STALE_TEST_CONTRACT","no","backend/tests/business/test_s4f_business_invariant_closeout.py:510","dc11t0-r2-artifacts/r3-file-reruns/tests-business-tests4fbusinessinvariantcloseout-py/pytest_output.txt","Test calls legacy direct payment path without structured payment body; product rejects with PAYMENT_BODY_REQUIRED 400."
"failed","tests/business/test_s4f_business_invariant_closeout.py::test_fulfill_consumes_owned_reservation_writes_movement_and_duplicate_is_stable","failed","STALE_TEST_CONTRACT","no","backend/tests/business/test_s4f_business_invariant_closeout.py:416","dc11t0-r2-artifacts/r3-file-reruns/tests-business-tests4fbusinessinvariantcloseout-py/pytest_output.txt","Test calls legacy direct payment path without structured payment body; product rejects with PAYMENT_BODY_REQUIRED 400."
"failed","tests/business/test_s4f_business_invariant_closeout.py::test_pay_preserves_inventory_reservation_and_existing_phase5_ledger_semantics","failed","STALE_TEST_CONTRACT","no","backend/tests/business/test_s4f_business_invariant_closeout.py:359","dc11t0-r2-artifacts/r3-file-reruns/tests-business-tests4fbusinessinvariantcloseout-py/pytest_output.txt","Test calls legacy direct payment path without structured payment body; product rejects with PAYMENT_BODY_REQUIRED 400."
"failed","tests/business/test_s4f_business_invariant_closeout.py::test_return_restores_on_hand_without_re_reserving_and_duplicate_is_stable","failed","STALE_TEST_CONTRACT","no","backend/tests/business/test_s4f_business_invariant_closeout.py:459","dc11t0-r2-artifacts/r3-file-reruns/tests-business-tests4fbusinessinvariantcloseout-py/pytest_output.txt","Test calls legacy direct payment path without structured payment body; product rejects with PAYMENT_BODY_REQUIRED 400."
"failed","tests/test_dc3b_credential_recovery_backend.py::test_forgot_password_neutral_for_existing_and_nonexistent_email","passed","TEST_INFRASTRUCTURE","no","backend/tests/test_dc3b_credential_recovery_backend.py:320","dc11t0-r2-artifacts/r3-file-reruns/tests-testdc3bcredentialrecoverybackend-py/pytest_output.txt","R2 failed/error node passed in isolated file rerun; full-suite order/state artifact, not a confirmed product defect."
"failed","tests/test_dc3b_credential_recovery_backend.py::test_invalid_states_fail_neutrally","passed","TEST_INFRASTRUCTURE","no","backend/tests/test_dc3b_credential_recovery_backend.py:432","dc11t0-r2-artifacts/r3-file-reruns/tests-testdc3bcredentialrecoverybackend-py/pytest_output.txt","R2 failed/error node passed in isolated file rerun; full-suite order/state artifact, not a confirmed product defect."
