Category,Check,Target,Observed,Result,Severity,Notes
ProofGate,Remote equality,origin/reports/dc12r1-mvp-l1-pw1-r4-b2-opencode-2026-08-16,branch head == ec94682178c3bb1aa0124edc6373a4a2314062b3,PASS,INFO,
ProofGate,Direct parent,ec946821~1,== 4f34c17fcf3e09d0f12595fe1d5c2f15b5447711,PASS,INFO,
ProofGate,Protected product baseline,origin/product-dev-recovered,== 888683ba23c14b48a102289a29f9b7adf674fdaf,PASS,INFO,
Scope,B2 semantic delta only,R4-B..R4-B2,only method:'mobile_money' -> 'transfer',PASS,P1,no other semantic harness edit
Scope,Product code unchanged,888683ba..ec946821 backend/frontend,empty diff,PASS,P1,
Accounting,CSV recomputation,pw1r4b2_findings_full_162.csv,162 total / 157 passed / 5 failed / 0 skipped,PASS,P1,
Accounting,JUnit recomputation,pw1r4b2_full_browser_junit.xml,tests=162 failures=5 skipped=0 errors=0,PASS,P1,
Accounting,JSON recomputation,pw1r4b2_full_browser.json,spec_count=162,PASS,INFO,
Accounting,Inventory list,pw1r4b2_test_list_162.json,spec_count=162,PASS,INFO,
ExecutionModel,Workers,playwright.config.js,workers=1,PASS,INFO,
ExecutionModel,Retries,playwright.config.js,retries=0,PASS,INFO,
F6a,Three B failures removed,R4-B vs R4-B2 failure-set diff,phase4-retailer.spec.ts:70 x3 removed,PASS,P1,
F6a,No assertion weakening,phase4-retailer.spec.ts,diff shows only payload method literal changed,PASS,P1,
ResidualRed,Exact remaining red set,B2 raw CSV/JUnit,phase4:118 x3 and phase6:17/:25 x2 only,PASS,P1,
F6b,Missing amount in UI double-click test,phase4-retailer.spec.ts:118,no page.fill('#amount', ...) present,PASS,P1,
F6b,Product amount required,DeclarePaymentPage.tsx,input#amount required + guard if !orderId || !amount return,PASS,P1,
F6b,Zero declaration creation runtime truth,B2 machine artifacts,after-before declaration count delta = 0 in all 3 viewports,PASS,P1,no DECLARATION_METHOD_INVALID at :118 in B2
B3,Authorized one-line fix authenticity,suggested await page.fill('#amount', '150.00');,valid only before first submit click,PASS,P1,
B3,Net-new lines,B3 proposal,net +1 only,PASS,INFO,
B3,Double-click semantics unchanged,B3 proposal,no change to first/second click timing,PASS,P1,
B3,Idempotency/POST assertions unchanged,B3 proposal,no change to declaration count or postcondition assertions,PASS,P1,
B3,click(...).catch(...) false-green risk contained,phase4-retailer.spec.ts,hard afterCount-beforeCount===1 assertion still blocks false green,PASS,P1,
HarnessAuth,No skip/only/xfail masking,pw1r4b source,no such patterns found,PASS,INFO,
HarnessAuth,No committed identity file,git ls-files,provision/identities.json not committed,PASS,INFO,
Hygiene,Scoped detect-secrets,harness + review artifacts,clean,PASS,INFO,
Hygiene,UTF-8/mojibake,B2 delta,0 U+FFFD hits,PASS,INFO,
Accounting,Findings accounting gap,review packet,zero,PASS,INFO,
