node_id,test_file,inventory_status,isolated_result,isolated_phase,isolated_db_setup_completed,isolated_exception_class,isolated_root_cause_fingerprint,grouped_result,grouped_phase,grouped_db_setup_completed,grouped_exception_class,grouped_root_cause_fingerprint,classification,evidence
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_retention_and_export_methods_remain_deferred,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_create_persists_request_audit_idempotency_and_no_execution,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_create_idempotent_replay_returns_duplicate,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_create_conflict_on_same_key_different_payload,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_create_denials_persist_no_request_row,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_decision_persists_checker_audit_idempotency,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_duplicate_decision_same_checker_is_idempotent,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_conflict_checker_flip_is_rejected,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_maker_checker_denies_self_decision_and_persists_nothing,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_reject_is_final_blocks_later_approve,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_source_honesty_blocks_approve_against_unknown_source,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_quorum_met_persists_approved_execution_blocked,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_restart_safety_new_adapter_reads_back,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_audit_sequence_no_monotonic_across_restart,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_get_request_not_found,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_list_requests_filters_and_pagination,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_raw_idempotency_key_never_persisted,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_raw_secret_reason_redacted_before_persistence,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_implementation.py::test_no_execution_invariant_across_lifecycle,tests/test_platform_p21_durable_approval_adapter_implementation.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21_durable_approval_adapter_skeleton.py::test_no_new_alembic_migration_chained_on_020,tests/test_platform_p21_durable_approval_adapter_skeleton.py,FAILED,FAILED,call,yes,AssertionError,assert_false_missing_020_durable_approval_store_file,FAILED,call,yes,AssertionError,assert_false_missing_020_durable_approval_store_file,STALE_TEST_CONTRACT,"The test asserts backend/alembic/versions/020_durable_approval_store.py exists, but the actual durable approval migration file is 029_durable_approval_store.py; the assertion is obsolete on the current source tree."
tests/test_platform_p21_durable_approval_migration.py::test_additions_only_from_base_to_head,tests/test_platform_p21_durable_approval_migration.py,FAILED,FAILED,call,yes,alembic.util.exc.CommandError,missing_revision_020_durable_approval_store,FAILED,call,yes,alembic.util.exc.CommandError,missing_revision_020_durable_approval_store,STALE_TEST_CONTRACT,"backend/tests/test_platform_p21_durable_approval_migration.py pins HEAD_REV='020_durable_approval_store' at line 35, but the actual durable approval revision is 029_durable_approval_store.py; the direct Alembic upgrade fails before product assertions run."
tests/test_platform_p21_durable_approval_migration.py::test_downgrade_drops_only_p21_objects,tests/test_platform_p21_durable_approval_migration.py,FAILED,FAILED,call,yes,alembic.util.exc.CommandError,missing_revision_020_durable_approval_store,FAILED,call,yes,alembic.util.exc.CommandError,missing_revision_020_durable_approval_store,STALE_TEST_CONTRACT,"backend/tests/test_platform_p21_durable_approval_migration.py pins HEAD_REV='020_durable_approval_store' at line 35, but the actual durable approval revision is 029_durable_approval_store.py; the direct Alembic upgrade fails before product assertions run."
tests/test_platform_p21_durable_approval_migration.py::test_reupgrade_recreates_tables,tests/test_platform_p21_durable_approval_migration.py,FAILED,FAILED,call,yes,alembic.util.exc.CommandError,downgrade_target_019_invalid_from_current_heads,FAILED,call,yes,alembic.util.exc.CommandError,downgrade_target_019_invalid_from_current_heads,STALE_TEST_CONTRACT,"The migration test assumes the durable approval chain is 019 -> 020, but the current chain runs through 029_durable_approval_store and later revisions; the downgrade target assumption is obsolete, so Alembic rejects the requested revision path."
tests/test_platform_p21_durable_approval_migration.py::test_no_durable_objects_in_tenant_schemas,tests/test_platform_p21_durable_approval_migration.py,FAILED,FAILED,call,yes,alembic.util.exc.CommandError,missing_revision_020_durable_approval_store,FAILED,call,yes,alembic.util.exc.CommandError,missing_revision_020_durable_approval_store,STALE_TEST_CONTRACT,"backend/tests/test_platform_p21_durable_approval_migration.py pins HEAD_REV='020_durable_approval_store' at line 35, but the actual durable approval revision is 029_durable_approval_store.py; the direct Alembic upgrade fails before product assertions run."
tests/test_platform_p21_durable_approval_migration.py::test_upgrade_does_not_create_tenant_schema,tests/test_platform_p21_durable_approval_migration.py,FAILED,FAILED,call,yes,alembic.util.exc.CommandError,downgrade_target_019_invalid_from_current_heads,FAILED,call,yes,alembic.util.exc.CommandError,downgrade_target_019_invalid_from_current_heads,STALE_TEST_CONTRACT,"The migration test assumes the durable approval chain is 019 -> 020, but the current chain runs through 029_durable_approval_store and later revisions; the downgrade target assumption is obsolete, so Alembic rejects the requested revision path."
tests/test_platform_p21_durable_approval_migration.py::test_base_revision_is_019_before_upgrade,tests/test_platform_p21_durable_approval_migration.py,FAILED,FAILED,call,yes,alembic.util.exc.CommandError,downgrade_target_019_invalid_from_current_heads,FAILED,call,yes,alembic.util.exc.CommandError,downgrade_target_019_invalid_from_current_heads,STALE_TEST_CONTRACT,"The migration test assumes the durable approval chain is 019 -> 020, but the current chain runs through 029_durable_approval_store and later revisions; the downgrade target assumption is obsolete, so Alembic rejects the requested revision path."
tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestReadinessGate::test_ready_on_migrated_db,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestReadinessGate::test_storage_not_ready_when_schema_missing,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestReadinessGate::test_unavailable_when_db_unreachable,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestReadinessGate::test_shell_schema_passes_table_count,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableHappyPath::test_create_records_durable_and_no_execution,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableHappyPath::test_create_persists_to_durable_table,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableHappyPath::test_durable_read_returns_record,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableHappyPath::test_durable_read_not_found_returns_none,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableHappyPath::test_durable_list_filters_and_marks_durable,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestRestartSafety::test_create_survives_new_session,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableIdempotency::test_duplicate_create_returns_original,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableIdempotency::test_create_conflict_on_same_key_different_payload,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableIdempotency::test_create_key_digest_only_no_raw_in_db,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableDualControl::test_maker_cannot_self_decide,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableDualControl::test_quorum_requires_two_distinct_checkers,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
tests/test_platform_p21dd_runtime_storage_cutover_gate.py::TestDurableDualControl::test_reject_is_final,tests/test_platform_p21dd_runtime_storage_cutover_gate.py,FAILED,PASSED,call,yes,NONE,none,PASSED,call,yes,NONE,none,TEST_INFRASTRUCTURE,"Docs-only diff 7a972d1..67d2696; isolated PASS and grouped PASS on fresh PG16/Redis7; no current ORM/schema/runtime defect reproduced in this slice, so the V0 failure depends on external suite harness/order state outside this slice."
