finding_id,classification,category,dimension,stop_condition_triggered,doc_evidence,source_evidence,summary,recommendation
ZCODE-R3-001,PASS,hard_rule_fetch,prerequisite: fetch --all --prune first,no,n/a,"git fetch --all --prune => exit 0 (origin https://github.com/lvoemingjie-hash/Mpango-ERP.git)","git fetch --all --prune executed first per hard rule 1.","None required."
ZCODE-R3-002,PASS,hard_rule_sha_verification,prerequisite: verify all three expected SHAs exactly,no,n/a,"git rev-parse/cat-file: baseline origin/product-dev-recovered=45899145e07c1c21424f2f32904965b49b689e1f; target origin/codex/dc12r1-...-2026-08-01=f7bd75c1d9095ce796ba4777bb738bfb4419fc54; R3 predecessor 72a17a60fa119f0d874eb7b7c41f24c0ea5bdafc exists as commit","All three expected SHAs match exactly.","None required."
ZCODE-R3-003,PASS,lineage_A1,A.lineage: baseline is ancestor of target,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:5,"git merge-base --is-ancestor 45899145 f7bd75c1 => YES","Baseline 45899145 proven ancestor of target f7bd75c1.","None required."
ZCODE-R3-004,PASS,lineage_A2,A.lineage: R3 predecessor is ancestor of target,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:4,"git merge-base --is-ancestor 72a17a60 f7bd75c1 => YES; git rev-list --parents -n 1 f7bd75c1 => single parent 72a17a60","R3 predecessor 72a17a60 proven ancestor of target; R3 commit has exactly one parent (clean linear increment).","None required."
ZCODE-R3-005,PASS,scope_A3,A.scope: R3 delta is exactly the 4 expected files,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:117-124,"git diff --name-status 72a17a60..f7bd75c1 => M r2_reconciliation doc / A r3 boundary doc / M canonical_payment_service.py / M test file","R3 delta matches the mandated 4-file set exactly.","None required."
ZCODE-R3-006,PASS,scope_A4,A.scope: no migration/frontend/config/permission/dependency/lockfile/deployment,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:44;126-127,"category grep across R3 delta and full candidate delta => no matches","No forbidden category file present in R3 or full candidate delta.","None required."
ZCODE-R3-007,PASS,scope_A5,A.scope: full candidate delta vs baseline is expected; no unrelated file,no,ai-ledger/product-ai/2026-08-02_dc12r1_i2a_r2_reconciliation_with_h4_baseline.md:49-60,"git diff --name-status 45899145..f7bd75c1 => 8 files (canonical service+route+tests R1; H4 reconcile docs R2; amount guard R3)","Full I2A scope (R1+R2+R3 = 5 commits) is the expected set; no unrelated file entered via reconciliation.","None required."
ZCODE-R3-008,PASS,amount_boundary_B1,B.amount: validation before every DB read/write/lookup/lock/mutation,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:38-39,"backend/services/canonical_payment_service.py:142-147 guard precedes first DB op (idempotency lookup line 155; order lock line 168; all mutations lines 267-311)","Guard is first statement of confirm_payment; precedes all DB and mutation operations.","None required."
ZCODE-R3-009,PASS,amount_boundary_B2_negative,B.amount: rejects negative,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:36,"canonical_payment_service.py:142 (amount <= 0); Python 3.12 empirical test Decimal('-1.00') => REJECTED(400)","Negative rejected; empirically verified.","None required."
ZCODE-R3-010,PASS,amount_boundary_B2_zero,B.amount: rejects zero,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:38,"canonical_payment_service.py:142 (amount <= 0); Python empirical Decimal('0') => REJECTED(400)","Zero rejected; empirically verified.","None required."
ZCODE-R3-011,PASS,amount_boundary_B2_nan,B.amount: rejects Decimal NaN,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:36,"canonical_payment_service.py:142 (amount.is_nan() short-circuits before <= 0); Python empirical Decimal('NaN') => REJECTED(400) no InvalidOperation leak","NaN rejected via is_nan() short-circuit; no exception leaks.","None required."
ZCODE-R3-012,PASS,amount_boundary_B2_posinf,B.amount: rejects +Infinity,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:37,"canonical_payment_service.py:142 (amount.is_infinite()); Python empirical Decimal('Infinity') => REJECTED(400)","+Infinity rejected; empirically verified.","None required."
ZCODE-R3-013,PASS,amount_boundary_B2_neginf,B.amount: rejects -Infinity,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:37,"canonical_payment_service.py:142 (amount.is_infinite()); Python empirical Decimal('-Infinity') => REJECTED(400)","-Infinity rejected; empirically verified.","None required."
ZCODE-R3-014,PASS,amount_boundary_B3,B.amount: guard applies with skip_prechecks False and True,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:40,"canonical_payment_service.py:142 guard is before if skip_prechecks (line 149); test_r3_skip_prechecks_cannot_bypass_amount_guard asserts 400 with skip_prechecks=True and AsyncMock db; route orders.py:754 calls with skip_prechecks=True","Guard executes unconditionally in both modes; critical because production route uses skip_prechecks=True.","None required."
ZCODE-R3-015,PASS,amount_boundary_B4,B.amount: controlled HTTP 400 INVALID_PAYMENT_AMOUNT,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:41,"canonical_payment_service.py:143-147 _payment_error(HTTP_400_BAD_REQUEST, ""INVALID_PAYMENT_AMOUNT"", ...); all R3 negative tests assert status_code==400 and detail['code']=='INVALID_PAYMENT_AMOUNT'","Rejection is controlled 400 with the required code.","None required."
ZCODE-R3-016,PASS,amount_boundary_B5_create,B.amount: invalid cannot reach PaymentRepository.create,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:38-39,"canonical_payment_service.py:142 guard precedes self._repo.create at line 267","PaymentRepository.create unreachable while guard can fire.","None required."
ZCODE-R3-017,PASS,amount_boundary_B5_balance,B.amount: invalid cannot reach outstanding-balance mutation,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:38-39,"canonical_payment_service.py:142 guard precedes _apply_outstanding_balance_delta at lines 282 and 296","Outstanding-balance mutation unreachable while guard can fire.","None required."
ZCODE-R3-018,PASS,amount_boundary_B5_transition,B.amount: invalid cannot reach OrderService.transition,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:38-39,"canonical_payment_service.py:142 guard precedes order_service.transition at line 302","OrderService.transition unreachable while guard can fire.","None required."
ZCODE-R3-019,PASS,amount_boundary_B5_ledger,B.amount: invalid cannot reach ledger posting,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:38-39,"canonical_payment_service.py:142 guard precedes ledger.post_payment_received at line 288","Ledger posting unreachable while guard can fire.","None required."
ZCODE-R3-020,PASS,amount_boundary_B5_complete,B.amount: invalid cannot reach payment completion update,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:38-39,"canonical_payment_service.py:142 guard precedes update_cash_transfer_to_completed at line 311","Payment completion update unreachable while guard can fire.","None required."
ZCODE-R3-021,PASS,amount_boundary_B6,B.amount: valid positive preserves direct pay_order behavior,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:42,"canonical_payment_service.py:142 predicate False for finite positive; 11 original parity tests unchanged (lines 78-550 byte-identical to R2); test_r3_failed_attempt_leaves_transaction_retryable valid Decimal('100.00') reaches paid","Valid positive amounts pass guard; existing behavior preserved.","None required."
ZCODE-R3-022,PASS,amount_boundary_B7,B.amount: guard does not commit/rollback/own transaction,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:42,"canonical_payment_service.py:142-147 guard body is raise only; grep commit|rollback|close|flush in guard => none; route orders.py:797 except Exception does route-owned rollback then re-raises 400","Guard takes no transaction ownership; route owns session.","None required."
ZCODE-R3-023,PASS,test_auth_C1,C.test: all seven R3 test nodes reviewed,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:48-58,"backend/tests/test_dc12r1_s3_s2b_i2a_canonical_payment_service.py:675-827 (5 functions; test_r3_nan_and_infinity_rejected_without_500 parametrized ids [nan,pos_inf,neg_inf] => 7 nodes)","Seven R3 test nodes present and reviewed.","None required."
ZCODE-R3-024,PASS,test_auth_C2,C.test: negative test proves payment/order/balance/ledger unchanged,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:52,"test_dc12r1_s3_s2b_i2a_canonical_payment_service.py:675-705 asserts after==before; _snapshot (test_dc11d...:274) reads order_status/payment_count/payment_total/completed_count/completed_total/ledger_count/ledger_sum/outstanding_balance from real DB","Negative test asserts full real-DB financial snapshot equality before/after.","None required."
ZCODE-R3-025,PASS,test_auth_C3,C.test: skip_prechecks cannot bypass guard,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:57,"test_dc12r1_s3_s2b_i2a_canonical_payment_service.py:762-791 skip_prechecks=True with Decimal('-50.00') and AsyncMock db asserts 400 INVALID_PAYMENT_AMOUNT","skip_prechecks bypass attempt rejected.","None required."
ZCODE-R3-026,PASS,test_auth_C4,C.test: NaN and Infinity produce controlled 400 not 500,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:54-56,"test_dc12r1_s3_s2b_i2a_canonical_payment_service.py:730-758 parametrized [nan,pos_inf,neg_inf] asserts status_code==400 and code INVALID_PAYMENT_AMOUNT; Python empirical confirms no InvalidOperation escapes","NaN/+Inf/-Inf yield controlled 400, not 500.","None required."
ZCODE-R3-027,PASS,test_auth_C5,C.test: same caller transaction usable after rejection,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:58,"test_dc12r1_s3_s2b_i2a_canonical_payment_service.py:794-827 rejected Decimal('-1.00') then valid Decimal('100.00') on same async_session => order_state paid, payment_count==1, ledger_count==2","Caller transaction remains usable after guard rejection.","None required."
ZCODE-R3-028,PASS,test_auth_C6,C.test: eleven original I2A parity tests unchanged and green,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:77-83,"git diff 72a17a60..f7bd75c1 -- test file => additions start after prior EOF (line 664+); 11 original test functions (lines 78-550) byte-identical to R2","Eleven parity tests unchanged; reported green in focused I2A gate (18 passed).","None required."
ZCODE-R3-029,PASS,test_auth_C7,C.test: no skip/xfail/deselect/weakened/mock-only substitution,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:48-58,"grep pytest.mark.skip|xfail|deselect in R3 tests => none; 4 DB-backed R3 tests use real async_session+_seed_confirmed_order+_snapshot; only skip_prechecks test uses AsyncMock (legitimate isolation); assertions are concrete financial facts","No hidden financial behavior; mocks used only to isolate guard from precheck branch.","None required."
ZCODE-R3-030,INFO,test_auth_C8,C.test: runtime execution of full I2A file,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:79-83;100-109,"conftest.py requires TEST_DATABASE_URL/Postgres16+Redis7; review host Windows Python 3.12 has no pytest (No module named pytest); no project venv/DB available","Runtime NOT executed: environment blocked (no pytest, no DB). Did not claim execution. Static review (C1-C7) and empirical Decimal predicate check (B2) performed instead.","None required for merge decision. If a Lubuntu PG16+Redis7 environment is available, re-run the I2A file to reproduce 18 passed."
ZCODE-R3-031,PASS,compat_D1_callers,D.compat: pay_order and CanonicalPaymentService callers via GitNexus,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:129-130,"GitNexus (target re-index 14329 nodes/44363 edges): confirm_payment incoming production caller = pay_order only; CRUD pay_order (crud/order.py:392) has 0 callers (dead); grep crud_pay_order invocation => none","Single live production write path through guarded confirm_payment; legacy CRUD pay_order is unused.","None required."
ZCODE-R3-032,PASS,compat_D2_blast_radius,D.compat: effective financial blast radius treated HIGH,no,n/a,"GitNexus impact confirm_payment => risk LOW (1 caller, 0 processes); per task directive treated as HIGH because confirm_payment mutates payments/balance/order/ledger","HIGH blast radius assumed by design; exhaustive boundary analysis in Section B is the mitigation.","None required."
ZCODE-R3-033,PASS,compat_D3_h4,D.compat: H4 reconciliation unchanged; target includes baseline 45899145,no,ai-ledger/product-ai/2026-08-02_dc12r1_i2a_r2_reconciliation_with_h4_baseline.md:4;41-45,"A1 proves 45899145 ancestor of f7bd75c1; R3 delta touches no H4 file; R2 doc states --no-ff merge of product-dev-recovered@45899145 clean with H4 files byte-identical","H4 reconciliation intact; baseline present in target lineage.","None required."
ZCODE-R3-034,PASS,compat_D4_fullsuite,D.compat: two Lubuntu full-suite results internally consistent (3134/48/15/0/0 twice),no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:100-109,"R3 doc Run A and Run B both 3134 passed/48 skipped/15 xfailed/0 failed/0 errors; identical across two independent fresh stacks","Full-suite results internally consistent; zero failures/errors; counts identical across runs.","None required."
ZCODE-R3-035,PASS,compat_D5_arithmetic,D.compat: report arithmetic and changed-file claims match Git,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:111-124,"3127 R2 + 7 R3 = 3134; 3116 H4 + 11 I2A = 3127; 11+7=18; R3 4-file delta matches git diff; R2 7-file delta (incl report) matches git diff 45899145..72a17a60","Arithmetic and changed-file claims match Git evidence.","None required."
ZCODE-R3-036,INFO,compat_D5_doc_linecount,D.compat: R3 doc service line-count claim vs git numstat,no,ai-ledger/product-ai/2026-08-03_dc12r1_i2a_r3_canonical_amount_integrity_boundary.md:121,"doc says canonical_payment_service.py +6; git diff --numstat 72a17a60..f7bd75c1 => 7 added lines","Off-by-one: +1 is the trailing blank separator line after the 6 logical guard lines. Cosmetic documentation imprecision only.","Optional: amend the R3 doc table to read '+7 (+6 guard lines +1 separator)' for exactness. Not a merge blocker."
ZCODE-R3-037,PASS,quality_diffcheck,Quality: git diff --check,no,n/a,"git diff --check 72a17a60..f7bd75c1 => exit 0; git diff --check 45899145..f7bd75c1 => exit 0","No whitespace/conflict-marker errors in R3 or full candidate delta.","None required."
ZCODE-R3-038,PASS,quality_mojibake,Quality: mojibake scan on report/doc files,no,n/a,"grep U+FFFD / typical mojibake sequences and non-ASCII in all 4 R3 files => 0 hits","No mojibake; all R3 files pure ASCII.","None required."
ZCODE-R3-039,PASS,quality_precommit,Quality: scoped pre-commit,no,n/a,"pre-commit run --files <4 R3 files> => trailing-ws Passed / eof Passed / yaml n/a / large-files Passed / detect-secrets Passed (exit 0)","All applicable pre-commit hooks pass on R3 changed files.","None required."
ZCODE-R3-040,PASS,quality_detect_secrets,Quality: scoped detect-secrets,no,n/a,"detect-secrets scan <4 R3 files> --baseline .secrets.baseline => exit 0","No new secrets beyond the project baseline.","None required."
