finding_id,status,severity,area,summary,evidence,accounting_gap
R9-01,PASS,INFO,Lineage,"Candidate SHA, direct parent, and baseline ancestry all verified exactly.","git rev-parse candidate/parent/baseline; git rev-parse candidate^ -> parent; git merge-base --is-ancestor baseline candidate exit 0",0
R9-02,PASS,INFO,Scope,"R9 delta is exactly the StatementPrintWorkspace test file plus the Contract D ledger.","git diff --name-only f6ac69ee..133ca46b returned only the 2 mandated paths",0
R9-03,PASS,INFO,Frozen production scope,"All backend files and all production frontend files are byte-identical to parent; no production edit exists.","git diff --name-only parent..candidate -- backend frontend/src ':!frontend/src/tests/**' returned no output",0
R9-04,PASS,INFO,Timer closure,"Both EAT boundary tests use vi.useFakeTimers() and vi.setSystemTime(new Date('2026-08-10T22:30:00Z')).","frontend/src/tests/StatementPrintWorkspace.test.tsx:872-873 and 895-896",0
R9-05,PASS,INFO,Timer restoration,"afterEach always restores vi.useRealTimers() and vi.restoreAllMocks().","frontend/src/tests/StatementPrintWorkspace.test.tsx:857-860",0
R9-06,PASS,INFO,Date stubbing,"No Date.now-only spy remains in the changed EAT tests.","search over StatementPrintWorkspace.test.tsx found no vi.spyOn(Date, 'now') after R9",0
R9-07,PASS,INFO,Assertion integrity,"Exact UTC/EAT/range/link assertions remain unchanged; no weakened assertion or conditional pass was introduced.","R9 diff changes timer mechanics and synchronous retrieval only; expect values remain UTC 2026-08-10, EAT 2026-08-11, month/default range 2026-08-01..2026-08-11, exact href /client/statements/print?from=2026-08-01&to=2026-08-11",0
R9-08,PASS,INFO,False-green and leakage risk,"act()+runAllTicks()+runAllTimers()+getByTestId flow is valid under fake timers and afterEach prevents timer leakage. One comment wording typo about runAllTicks is INFO only.","frontend/src/tests/StatementPrintWorkspace.test.tsx:912-921 with afterEach at 857-860",0
R9-09,PASS,INFO,Ledger truth,"R9 ledger claims reconcile with actual source scope and behavior.","ai-ledger/product-ai/2026-08-10_dc12r1_s3_s2b_i2c_i2b_contract_d_statement.md:1437-1505 matched against exact diff and test source",0
R9-10,PASS,INFO,Quality gates,"git diff --check, detect-secrets, mojibake, GitNexus analyze/status completed cleanly; GitNexus detect_changes unavailable in this CLI build; frontend vitest execution unavailable on this host and not claimed.","git diff --check clean; detect-secrets results {}; mojibake rg no hits; npx gitnexus analyze/status OK; npx gitnexus --help has no detect_changes command; pnpm vitest failed because vitest command unavailable",0
