index,status,expected_status,project,file,line,title,duration_ms,error
1,expected,passed,desktop,auth-matrix.spec.ts,18,W1 single-tenant wholesaler admin: login API 200  auto select-tenant 200  lands on /,1380,
2,expected,passed,desktop,auth-matrix.spec.ts,28,W2 second wholesaler admin: independent tenant  login + select-tenant 200,1060,
3,expected,passed,desktop,auth-matrix.spec.ts,36,RA multi-tenant login: response carries 2 availableTenants into workspace selector,1381,
4,expected,passed,desktop,auth-matrix.spec.ts,68,RB retailer portal login: client auth API 200  lands on /client,932,
5,expected,passed,desktop,auth-matrix.spec.ts,73,RA retailer portal login at W1 portal: lands on /client,913,
6,expected,passed,desktop,auth-matrix.spec.ts,78,wrong password on wholesaler login: API 401  stays on /login  no token persisted,1786,
7,expected,passed,desktop,auth-matrix.spec.ts,96,wrong password on retailer portal: API 401  stays on portal  neutral message,1713,
8,expected,passed,desktop,auth-matrix.spec.ts,112,/select-workspace direct access without navigation state redirects to /login,533,
9,expected,passed,desktop,auth-matrix.spec.ts,118,logout clears mpango-auth session and returns to /login,1134,
10,expected,passed,tablet,auth-matrix.spec.ts,18,W1 single-tenant wholesaler admin: login API 200  auto select-tenant 200  lands on /,1409,
11,expected,passed,tablet,auth-matrix.spec.ts,28,W2 second wholesaler admin: independent tenant  login + select-tenant 200,1188,
12,expected,passed,tablet,auth-matrix.spec.ts,36,RA multi-tenant login: response carries 2 availableTenants into workspace selector,1504,
13,expected,passed,tablet,auth-matrix.spec.ts,68,RB retailer portal login: client auth API 200  lands on /client,974,
14,expected,passed,tablet,auth-matrix.spec.ts,73,RA retailer portal login at W1 portal: lands on /client,936,
15,expected,passed,tablet,auth-matrix.spec.ts,78,wrong password on wholesaler login: API 401  stays on /login  no token persisted,1740,
16,expected,passed,tablet,auth-matrix.spec.ts,96,wrong password on retailer portal: API 401  stays on portal  neutral message,1743,
17,expected,passed,tablet,auth-matrix.spec.ts,112,/select-workspace direct access without navigation state redirects to /login,483,
18,expected,passed,tablet,auth-matrix.spec.ts,118,logout clears mpango-auth session and returns to /login,1119,
19,expected,passed,mobile,auth-matrix.spec.ts,18,W1 single-tenant wholesaler admin: login API 200  auto select-tenant 200  lands on /,1346,
20,expected,passed,mobile,auth-matrix.spec.ts,28,W2 second wholesaler admin: independent tenant  login + select-tenant 200,1233,
21,expected,passed,mobile,auth-matrix.spec.ts,36,RA multi-tenant login: response carries 2 availableTenants into workspace selector,1513,
22,expected,passed,mobile,auth-matrix.spec.ts,68,RB retailer portal login: client auth API 200  lands on /client,908,
23,expected,passed,mobile,auth-matrix.spec.ts,73,RA retailer portal login at W1 portal: lands on /client,922,
24,expected,passed,mobile,auth-matrix.spec.ts,78,wrong password on wholesaler login: API 401  stays on /login  no token persisted,1736,
25,expected,passed,mobile,auth-matrix.spec.ts,96,wrong password on retailer portal: API 401  stays on portal  neutral message,1664,
26,expected,passed,mobile,auth-matrix.spec.ts,112,/select-workspace direct access without navigation state redirects to /login,517,
27,expected,passed,mobile,auth-matrix.spec.ts,118,logout clears mpango-auth session and returns to /login,1089,
28,expected,passed,desktop,phase1-routes.spec.ts,10,backend health endpoints are 200 (live/ready),61,
29,expected,passed,desktop,phase1-routes.spec.ts,17,frontend serves the SPA shell,13,
30,expected,passed,desktop,phase1-routes.spec.ts,24,wholesaler routes redirect anonymous users to /login,1186,
31,expected,passed,desktop,phase1-routes.spec.ts,32,retailer /client routes redirect anonymous users to retailer portal or /login,475,
32,expected,passed,desktop,phase1-routes.spec.ts,37,/client/login alias redirects to /retail/login preserving w,444,
33,expected,passed,desktop,phase1-routes.spec.ts,42,public auth pages are reachable anonymously,674,
34,expected,passed,desktop,phase1-routes.spec.ts,54,unknown route renders the 404 page (no crash),455,
35,expected,passed,desktop,phase1-routes.spec.ts,59,invalid portal code shows controlled invalid-portal state with zero login API calls,1554,
36,expected,passed,tablet,phase1-routes.spec.ts,10,backend health endpoints are 200 (live/ready),67,
37,expected,passed,tablet,phase1-routes.spec.ts,17,frontend serves the SPA shell,14,
38,expected,passed,tablet,phase1-routes.spec.ts,24,wholesaler routes redirect anonymous users to /login,1223,
39,expected,passed,tablet,phase1-routes.spec.ts,32,retailer /client routes redirect anonymous users to retailer portal or /login,456,
40,expected,passed,tablet,phase1-routes.spec.ts,37,/client/login alias redirects to /retail/login preserving w,423,
41,expected,passed,tablet,phase1-routes.spec.ts,42,public auth pages are reachable anonymously,673,
42,expected,passed,tablet,phase1-routes.spec.ts,54,unknown route renders the 404 page (no crash),516,
43,expected,passed,tablet,phase1-routes.spec.ts,59,invalid portal code shows controlled invalid-portal state with zero login API calls,1481,
44,expected,passed,mobile,phase1-routes.spec.ts,10,backend health endpoints are 200 (live/ready),143,
45,expected,passed,mobile,phase1-routes.spec.ts,17,frontend serves the SPA shell,14,
46,expected,passed,mobile,phase1-routes.spec.ts,24,wholesaler routes redirect anonymous users to /login,1249,
47,expected,passed,mobile,phase1-routes.spec.ts,32,retailer /client routes redirect anonymous users to retailer portal or /login,409,
48,expected,passed,mobile,phase1-routes.spec.ts,37,/client/login alias redirects to /retail/login preserving w,437,
49,expected,passed,mobile,phase1-routes.spec.ts,42,public auth pages are reachable anonymously,711,
50,expected,passed,mobile,phase1-routes.spec.ts,54,unknown route renders the 404 page (no crash),445,
51,expected,passed,mobile,phase1-routes.spec.ts,59,invalid portal code shows controlled invalid-portal state with zero login API calls,1460,
52,expected,passed,desktop,phase2-identity.spec.ts,14,legacy localStorage keys (access_token/user) do NOT authenticate,705,
53,expected,passed,desktop,phase2-identity.spec.ts,28,forged mpango-auth with invalid JWT is rejected by the backend,683,
54,expected,passed,desktop,phase2-identity.spec.ts,42,REAL mpango-auth format restores a wholesaler session (hydration),1202,
55,expected,passed,desktop,phase2-identity.spec.ts,65,REAL mpango-auth format restores a retailer session at /client,1055,
56,expected,passed,desktop,phase2-identity.spec.ts,86,login form submits real credentials to the real API (request body audit),1030,
57,expected,passed,tablet,phase2-identity.spec.ts,14,legacy localStorage keys (access_token/user) do NOT authenticate,684,
58,expected,passed,tablet,phase2-identity.spec.ts,28,forged mpango-auth with invalid JWT is rejected by the backend,789,
59,expected,passed,tablet,phase2-identity.spec.ts,42,REAL mpango-auth format restores a wholesaler session (hydration),1251,
60,expected,passed,tablet,phase2-identity.spec.ts,65,REAL mpango-auth format restores a retailer session at /client,982,
61,expected,passed,tablet,phase2-identity.spec.ts,86,login form submits real credentials to the real API (request body audit),1068,
62,expected,passed,mobile,phase2-identity.spec.ts,14,legacy localStorage keys (access_token/user) do NOT authenticate,744,
63,expected,passed,mobile,phase2-identity.spec.ts,28,forged mpango-auth with invalid JWT is rejected by the backend,883,
64,expected,passed,mobile,phase2-identity.spec.ts,42,REAL mpango-auth format restores a wholesaler session (hydration),1216,
65,expected,passed,mobile,phase2-identity.spec.ts,65,REAL mpango-auth format restores a retailer session at /client,1031,
66,expected,passed,mobile,phase2-identity.spec.ts,86,login form submits real credentials to the real API (request body audit),1035,
67,expected,passed,desktop,phase3-wholesaler.spec.ts,28,wholesaler page / renders authenticated content,1303,
68,expected,passed,desktop,phase3-wholesaler.spec.ts,28,wholesaler page /orders renders authenticated content,1346,
69,expected,passed,desktop,phase3-wholesaler.spec.ts,28,wholesaler page /inventory renders authenticated content,1358,
70,expected,passed,desktop,phase3-wholesaler.spec.ts,28,wholesaler page /skus renders authenticated content,1369,
71,expected,passed,desktop,phase3-wholesaler.spec.ts,28,wholesaler page /retailers renders authenticated content,1334,
72,expected,passed,desktop,phase3-wholesaler.spec.ts,28,wholesaler page /finance renders authenticated content,1304,
73,expected,passed,desktop,phase3-wholesaler.spec.ts,28,wholesaler page /payments renders authenticated content,1328,
74,expected,passed,desktop,phase3-wholesaler.spec.ts,28,wholesaler page /declarations renders authenticated content,1365,
75,expected,passed,desktop,phase3-wholesaler.spec.ts,41,dashboard shows the app shell with user context,1414,
76,expected,passed,desktop,phase3-wholesaler.spec.ts,46,wholesaler cannot open retailer /client routes (boundary redirect),1290,
77,expected,passed,desktop,phase3-wholesaler.spec.ts,52,logout returns to /login and clears the session,1163,
78,expected,passed,tablet,phase3-wholesaler.spec.ts,28,wholesaler page / renders authenticated content,1381,
