Phase,Test Title,Outcome,Severity,URL,Role,Notes
Phase 1,Proof Gate - SHA verification,PASS,INFO,-,system,"All SHAs valid, ancestry verified"
Phase 1,Backend MPANGO_ENV verification,PASS,INFO,http://127.0.0.1:8000,system,"MPANGO_ENV=staging confirmed"
Phase 1,Frontend candidate on port 5174,PASS,INFO,http://127.0.0.1:5174,system,"Candidate frontend running"
Phase 1,JwtAuthStrategy verification,PASS,INFO,http://127.0.0.1:8000/api/v1/auth/login,system,"Real JWT tokens returned"
Phase 2,Harness SHA verification,PASS,INFO,-,system,"d787c58 verified, 38 files bit-identical"
Phase 2,162 nodes collected,PASS,INFO,-,system,"54 desktop + 54 tablet + 54 mobile"
Phase 2,baseURL changed to 5174,PASS,INFO,-,system,"Only allowed config change"
Phase 3,Auth matrix desktop 9/9,PASS,INFO,-,desktop,"All 9 auth tests passed"
Phase 3,W1 single-tenant login,PASS,INFO,http://127.0.0.1:5174/login,w1,"Login API 200, auto select-tenant 200"
Phase 3,W2 multi-tenant login,PASS,INFO,http://127.0.0.1:5174/login,w2,"Independent tenant verified"
Phase 3,RA multi-tenant login,PASS,INFO,http://127.0.0.1:5174/login,ra,"2 available tenants in workspace"
Phase 3,RB retailer portal login,PASS,INFO,http://127.0.0.1:5174/retail/login,rb,"Client auth API 200, lands on /client"
Phase 3,Wrong password 401,PASS,INFO,http://127.0.0.1:5174/login,w1,"API 401, stays on /login"
Phase 3,Logout clears session,PASS,INFO,http://127.0.0.1:5174/login,w1,"mpango-auth cleared"
Phase 4,Full PW1 run,FAIL,CRITICAL,-,all,"82/162 failed due to rate limiting"
Phase 4,Desktop tests,PASS,INFO,-,desktop,"54/54 passed"
Phase 4,Tablet tests,FAIL,CRITICAL,-,tablet,"13/54 passed, 41 failed (429)"
Phase 4,Mobile tests,FAIL,CRITICAL,-,mobile,"13/54 passed, 41 failed (429)"
Phase 4,Rate limit hit,FAIL,CRITICAL,-,all,"100 req/min per IP exceeded"
Phase 5,Financial isolation,BLOCKED,INFO,-,all,"Not reached due to Phase 4 failure"
Phase 5,Cross-tenant isolation,BLOCKED,INFO,-,all,"Not reached due to Phase 4 failure"
Phase 6,Evidence reconciliation,BLOCKED,INFO,-,all,"Not reached due to Phase 4 failure"
Phase 7,Quality residue checks,BLOCKED,INFO,-,all,"Not reached due to Phase 4 failure"
