node_id,test_file,inventory_status,isolated_result,group_registry_then_migration_result,group_migration_then_registry_result,sanitized_root_cause,classification,evidence
tests/test_platform_p17dc_backup_migration.py::test_additions_only_from_base_to_head,tests/test_platform_p17dc_backup_migration.py,FAILED,FAILED,FAILED,FAILED,missing_revision_021_platform_backup_status_source,STALE_TEST_CONTRACT,"The test pins HEAD_REV='021_platform_backup_status_source' at backend/tests/test_platform_p17dc_backup_migration.py:43, but the current migration file is backend/alembic/versions/030_platform_backup_status_source.py revising 029_durable_approval_store."
tests/test_platform_p17dc_backup_migration.py::test_downgrade_drops_only_p17dc_objects,tests/test_platform_p17dc_backup_migration.py,FAILED,FAILED,FAILED,FAILED,missing_revision_021_platform_backup_status_source,STALE_TEST_CONTRACT,"The test pins HEAD_REV='021_platform_backup_status_source' at backend/tests/test_platform_p17dc_backup_migration.py:43, but the current migration file is backend/alembic/versions/030_platform_backup_status_source.py revising 029_durable_approval_store."
tests/test_platform_p17dc_backup_migration.py::test_reupgrade_recreates_tables,tests/test_platform_p17dc_backup_migration.py,FAILED,FAILED,FAILED,FAILED,missing_revision_020_durable_approval_store,STALE_TEST_CONTRACT,"The test pins BASE_REV='020_durable_approval_store' at backend/tests/test_platform_p17dc_backup_migration.py:42, but the current durable approval base file is backend/alembic/versions/029_durable_approval_store.py."
tests/test_platform_p17dc_backup_migration.py::test_no_backup_objects_in_tenant_schemas,tests/test_platform_p17dc_backup_migration.py,FAILED,FAILED,FAILED,FAILED,missing_revision_021_platform_backup_status_source,STALE_TEST_CONTRACT,"The test pins HEAD_REV='021_platform_backup_status_source' at backend/tests/test_platform_p17dc_backup_migration.py:43, but the current migration file is backend/alembic/versions/030_platform_backup_status_source.py revising 029_durable_approval_store."
tests/test_platform_p17dc_backup_migration.py::test_upgrade_does_not_create_tenant_schema,tests/test_platform_p17dc_backup_migration.py,FAILED,FAILED,FAILED,FAILED,missing_revision_020_durable_approval_store,STALE_TEST_CONTRACT,"The test pins BASE_REV='020_durable_approval_store' at backend/tests/test_platform_p17dc_backup_migration.py:42, but the current durable approval base file is backend/alembic/versions/029_durable_approval_store.py."
tests/test_platform_p17dc_backup_migration.py::test_base_revision_is_020_before_upgrade,tests/test_platform_p17dc_backup_migration.py,FAILED,FAILED,FAILED,FAILED,missing_revision_020_durable_approval_store,STALE_TEST_CONTRACT,"The test pins BASE_REV='020_durable_approval_store' at backend/tests/test_platform_p17dc_backup_migration.py:42, but the current durable approval base file is backend/alembic/versions/029_durable_approval_store.py."
tests/test_platform_p17dc_backup_migration.py::test_check_constraints_enforce_honesty,tests/test_platform_p17dc_backup_migration.py,FAILED,FAILED,FAILED,FAILED,missing_revision_021_platform_backup_status_source,STALE_TEST_CONTRACT,"The test pins HEAD_REV='021_platform_backup_status_source' at backend/tests/test_platform_p17dc_backup_migration.py:43, but the current migration file is backend/alembic/versions/030_platform_backup_status_source.py revising 029_durable_approval_store."
tests/test_platform_p17dc_backup_migration.py::test_policy_uniqueness,tests/test_platform_p17dc_backup_migration.py,FAILED,FAILED,FAILED,FAILED,missing_revision_021_platform_backup_status_source,STALE_TEST_CONTRACT,"The test pins HEAD_REV='021_platform_backup_status_source' at backend/tests/test_platform_p17dc_backup_migration.py:43, but the current migration file is backend/alembic/versions/030_platform_backup_status_source.py revising 029_durable_approval_store."
tests/test_platform_p17dc_backup_migration.py::test_latest_completed_excludes_in_progress,tests/test_platform_p17dc_backup_migration.py,FAILED,FAILED,FAILED,FAILED,missing_revision_021_platform_backup_status_source,STALE_TEST_CONTRACT,"The test pins HEAD_REV='021_platform_backup_status_source' at backend/tests/test_platform_p17dc_backup_migration.py:43, but the current migration file is backend/alembic/versions/030_platform_backup_status_source.py revising 029_durable_approval_store."
tests/test_platform_p17dc_backup_registry_read.py::TestLoadBackupStatusMap::test_empty_tenant_ids,tests/test_platform_p17dc_backup_registry_read.py,FAILED,PASSED,PASSED,PASSED,none_reproduced_in_scope,TEST_INFRASTRUCTURE,"This node passed in isolation and in both grouped orders on the exact baseline. The inventory commit is docs-only, so the V0 failure depended on broader suite or harness state outside this scoped two-file matrix."
tests/test_platform_p17dc_backup_registry_read.py::TestLoadBackupStatusMap::test_read_failure_returns_none,tests/test_platform_p17dc_backup_registry_read.py,FAILED,PASSED,PASSED,PASSED,none_reproduced_in_scope,TEST_INFRASTRUCTURE,"This node passed in isolation and in both grouped orders on the exact baseline. The inventory commit is docs-only, so the V0 failure depended on broader suite or harness state outside this scoped two-file matrix."
tests/test_platform_p17dc_backup_registry_read.py::TestLoadBackupStatusMap::test_no_outcomes_yields_unknown_per_tenant,tests/test_platform_p17dc_backup_registry_read.py,FAILED,PASSED,PASSED,PASSED,none_reproduced_in_scope,TEST_INFRASTRUCTURE,"This node passed in isolation and in both grouped orders on the exact baseline. The inventory commit is docs-only, so the V0 failure depended on broader suite or harness state outside this scoped two-file matrix."
tests/test_platform_p17dc_backup_registry_read.py::TestLoadBackupStatusMap::test_tenant_specific_preferred_over_platform_wide,tests/test_platform_p17dc_backup_registry_read.py,FAILED,PASSED,PASSED,PASSED,none_reproduced_in_scope,TEST_INFRASTRUCTURE,"This node passed in isolation and in both grouped orders on the exact baseline. The inventory commit is docs-only, so the V0 failure depended on broader suite or harness state outside this scoped two-file matrix."
tests/test_platform_p17dc_backup_registry_read.py::TestLoadBackupStatusMap::test_platform_wide_fallback_when_no_tenant_outcome,tests/test_platform_p17dc_backup_registry_read.py,FAILED,PASSED,PASSED,PASSED,none_reproduced_in_scope,TEST_INFRASTRUCTURE,"This node passed in isolation and in both grouped orders on the exact baseline. The inventory commit is docs-only, so the V0 failure depended on broader suite or harness state outside this scoped two-file matrix."
tests/test_platform_p17dc_backup_registry_read.py::TestLoadBackupStatusMap::test_latest_completed_chosen_per_kind,tests/test_platform_p17dc_backup_registry_read.py,FAILED,PASSED,PASSED,PASSED,none_reproduced_in_scope,TEST_INFRASTRUCTURE,"This node passed in isolation and in both grouped orders on the exact baseline. The inventory commit is docs-only, so the V0 failure depended on broader suite or harness state outside this scoped two-file matrix."
tests/test_platform_p17dc_backup_registry_read.py::TestLoadBackupStatusMap::test_policy_tenant_then_platform_default,tests/test_platform_p17dc_backup_registry_read.py,FAILED,PASSED,PASSED,PASSED,none_reproduced_in_scope,TEST_INFRASTRUCTURE,"This node passed in isolation and in both grouped orders on the exact baseline. The inventory commit is docs-only, so the V0 failure depended on broader suite or harness state outside this scoped two-file matrix."
tests/test_platform_p17dc_backup_registry_read.py::TestLoadBackupStatusMap::test_load_map_performs_no_mutations,tests/test_platform_p17dc_backup_registry_read.py,FAILED,PASSED,PASSED,PASSED,none_reproduced_in_scope,TEST_INFRASTRUCTURE,"This node passed in isolation and in both grouped orders on the exact baseline. The inventory commit is docs-only, so the V0 failure depended on broader suite or harness state outside this scoped two-file matrix."
tests/test_platform_p17dc_backup_registry_read.py::TestRegistryAssembly::test_fresh_success_attached_to_registry,tests/test_platform_p17dc_backup_registry_read.py,FAILED,FAILED,FAILED,FAILED,route_uses_real_now_july_16_2026_so_fixed_july_03_2026_backup_row_is_stale,STALE_TEST_CONTRACT,"The test's fixed NOW constant is July 3, 2026, but the route computes _utcnow() at request time on July 16, 2026. Under the current 24-hour BACKUP_FRESHNESS_WINDOW, the row is stale, so the route's 'stale' result matches current source and the test's expected 'success' is obsolete."
tests/test_platform_p17dc_backup_registry_read.py::TestRegistryAssembly::test_tenant_specific_wins_over_platform_at_registry,tests/test_platform_p17dc_backup_registry_read.py,FAILED,FAILED,FAILED,FAILED,route_uses_real_now_july_16_2026_so_fixed_july_03_2026_backup_row_is_stale,STALE_TEST_CONTRACT,"The test's fixed NOW constant is July 3, 2026, but the route computes _utcnow() at request time on July 16, 2026. Under the current 24-hour BACKUP_FRESHNESS_WINDOW, the row is stale, so the route's 'stale' result matches current source and the test's expected 'success' is obsolete."
