finding_id,severity,category,stop_condition_triggered,doc_evidence,source_evidence,summary,recommendation
ZCODE-R1-001,PASS,lineage_and_scope,no,ai-ledger/product-ai/2026-08-01_dc12r1_s3_s2b_i2a_canonical_payment_service.md:9-14;20-28,git log 9528cb6d..d39f2eaa => 2 commits 7 files; matches expected target/base SHA,"Two-commit lineage and exact seven-file delta verified against expected target d39f2eaa and base 9528cb6d. No frontend/migration/permission/config/lockfile/deployment change.","None required."
ZCODE-R1-002,PASS,transaction_isolation,no,ai-ledger/product-ai/2026-08-01_dc12r1_s3_s2b_i2a_canonical_payment_service.md:100,"backend/services/canonical_payment_service.py:84;93;286 (only db.execute/db.refresh); grep commit|rollback|close|flush|AsyncSession( => none","Service never calls commit/rollback/close/flush and never creates or substitutes a session; proven by test_service_does_not_commit_or_rollback_calls.","None required."
ZCODE-R1-003,PASS,single_transaction_atomicity,no,ai-ledger/product-ai/2026-08-01_dc12r1_s3_s2b_i2a_canonical_payment_service.md:94-99,"backend/services/canonical_payment_service.py:260-304; backend/services/order_service.py:96-144 (self.db.flush only); backend/api/context/tenant.py:135-144 (single session commit/rollback/close)","Payment create + receivable delta + order transition + transition-ledger + credit-collection ledger + settlement all execute on the single caller-supplied db; commit owned by finalize_tenant_context.","None required."
ZCODE-R1-004,PASS,no_route_only_invariant,no,ai-ledger/product-ai/2026-08-01_dc12r1_s3_s2b_i2a_canonical_payment_service.md:87-93,"backend/services/canonical_payment_service.py:146-252 (full prechecks); backend/api/v1/orders.py:607-739 (route prechecks)","Every financial invariant (lock idempotency replay pre/post lock overpayment credit-rules duplicate-transfer) is duplicated inside the service skip_prechecks=False branch; default skip_prechecks=False enforces all internally. Future declaration caller cannot bypass any invariant.","None required for this slice. Consider documenting the skip_prechecks=True precondition (caller must precompute under same held lock) in the service docstring as a future guardrail."
ZCODE-R1-005,PASS,failure_atomicity_and_idempotency,no,ai-ledger/product-ai/2026-08-01_dc12r1_s3_s2b_i2a_canonical_payment_service.md:170-171,"backend/services/canonical_payment_service.py:260-306; backend/api/v1/orders.py:756-799; backend/tests/test_dc12r1_s3_s2b_i2a_canonical_payment_service.py:549-666","Four-stage failure atomicity test (after create/delta/transition/complete) proves snapshot-equal rollback; idempotency key never consumed on failure because create is the only idempotency write and any later failure reverts it via transaction rollback.","None required."
ZCODE-R1-006,PASS,force_completed_semantics,no,ai-ledger/product-ai/2026-08-01_dc12r1_s3_s2b_i2a_canonical_payment_service.md:81,"backend/services/canonical_payment_service.py:254-258;303; backend/api/v1/orders.py:750 (force_completed=False); backend/tests/...canonical_payment_service.py:462-485","force_completed=True always yields status=completed and cannot produce a pending payment (test_service_force_completed_cannot_create_pending_payment). force_completed=False preserves direct pay_order behavior including PAID auto-settlement (parity tests).","None required."
ZCODE-R1-007,PASS,api_compatibility,no,ai-ledger/product-ai/2026-08-01_dc12r1_s3_s2b_i2a_canonical_payment_service.md:77-79,"backend/api/v1/orders.py:159-187;784-806; base git show 9528cb6d:backend/api/v1/orders.py pay_order","Response status 200 body shape and data keys unchanged; happy-path message identical (replayed=False in skip path); error codes/codes preserved verbatim.","None required."
ZCODE-R1-008,PASS,receipt_allocation_truth,no,ai-ledger/product-ai/2026-08-01_dc12r1_s3_s2b_i2a_canonical_payment_service.md:83,"backend/repositories/payment_repository.py:236-300 (no receipt_number); backend/alembic/versions/037_payment_declarations_schema.py:73-79 (schema only)","Receipt allocation is not implemented in I2A and is not claimed; repo.create never sets receipt_number; migration 037 provides schema foundation only.","None required. Defer allocation to I2B/I2C per plan."
ZCODE-R1-009,PASS,migration_test_fix,no,ai-ledger/product-ai/2026-08-01_dc12r1_s3_s2b_i2a_canonical_payment_service.md:146-150,"backend/tests/test_dc12r1_s1_r5_migration_preflight_exact_catalog.py:685-733; backend/alembic/versions/037_payment_declarations_schema.py:45-46 (037 is new head)","Legacy 035->036 test narrowed from head to REV_036 and dropped two now-invalid _script_heads==[REV_036] assertions because 037 is now head; meaningful catalog-fingerprint and current-revision invariants retained. Not assertion weakening.","None required."
ZCODE-R1-010,PASS,test_runtime_behavior,no,ai-ledger/product-ai/2026-08-01_dc12r1_s3_s2b_i2a_canonical_payment_service.md:104-122,"backend/tests/test_dc12r1_s3_s2b_i2a_canonical_payment_service.py:200-666","New suite is runtime-integration against real PostgreSQL tenant schemas with route-vs-service snapshot parity duplicate-tx overpayment replay cross-tenant and four-stage atomicity tests; not source-inspection or mock-only.","None required."
