observed_status,nodeid,classification,evidence
failed,tests/test_request_validation.py::TestRequestValidation::test_login_rejects_missing_email,TEST_INFRASTRUCTURE,"Both R4 runs failed with no current event loop and Future attached to a different loop; the node passed independently and in both grouped orders."
failed,tests/test_s3c_cache.py::test_redis_client_lifecycle,TEST_INFRASTRUCTURE,"R4 raised Event loop is closed during Redis lifecycle cleanup; the full cache file passed independently and in both grouped orders."
failed,tests/test_s3c_self_contained_fresh_tenant_live_proof.py::TestFreshEndpointSmoke::test_dashboard_kpi_summary,TEST_INFRASTRUCTURE,"R4 raised Future attached to a different loop before the endpoint assertion completed; the 17-test file and both grouped orders passed."
error,tests/test_s4_jobs_persistence.py::test_job_max_retries_reached,TEST_INFRASTRUCTURE,"R4 async-session setup/teardown inherited invalid loop or transaction state; all five S4 job tests passed in fresh infrastructure and both grouped orders."
error,tests/test_s4_jobs_persistence.py::test_job_persistence_happy_path,TEST_INFRASTRUCTURE,"R4 async-session setup/teardown inherited invalid loop or transaction state; all five S4 job tests passed in fresh infrastructure and both grouped orders."
error,tests/test_s4_jobs_persistence.py::test_job_record_persistence,TEST_INFRASTRUCTURE,"R4 async-session setup/teardown inherited invalid loop or transaction state; all five S4 job tests passed in fresh infrastructure and both grouped orders."
error,tests/test_s4_jobs_persistence.py::test_job_retry_on_failure,TEST_INFRASTRUCTURE,"R4 included Future attached to a different loop and fixture errors; all five S4 job tests passed in fresh infrastructure and both grouped orders."
error,tests/test_s4_jobs_persistence.py::test_multiple_jobs_persistence,TEST_INFRASTRUCTURE,"R4 included Future attached to a different loop and fixture errors; all five S4 job tests passed in fresh infrastructure and both grouped orders."
failed,tests/test_s5a_fresh_tenant_real_user_journey_gate.py::test_fresh_tenant_bootstrap_supports_returned_order_status_for_real_return_journey,TEST_INFRASTRUCTURE,"R4 pooled connection retained a manually started transaction; the full S5A file passed independently and in both grouped orders."
error,tests/test_search_path.py::test_search_path_is_set,TEST_INFRASTRUCTURE,"R4 raised Future attached to a different loop and fixture teardown error; the node passed independently and in both grouped orders."
failed,tests/test_tenant_isolation.py::TestTenantSchemaIsolation::test_search_path_set_for_tenant_session,TEST_INFRASTRUCTURE,"R4 Hypothesis run was flaky because the first example inherited a manual transaction but replay did not; the full file passed independently and in both grouped orders."
