node_id,category,root_cause_summary,independently_reproducible,suggested_work_package
tests.business.test_s4e_reservation_schema_contract::test_fresh_tenant_bootstrap_creates_inventory_reservations_contract,CONFIGURATION_DRIFT,Bootstrap reconcile: reporting_role does not exist; migration 011_s6_p_reporting_role must run first,YES,WP-RECONCILE-ROLE
tests.business.test_s4f_business_invariant_closeout::test_same_sku_code_isolated_across_two_tenant_schemas,CONFIGURATION_DRIFT,Bootstrap reconcile: reporting_role does not exist; migration 011_s6_p_reporting_role must run first,YES,WP-RECONCILE-ROLE
tests.test_models_structure.TestORMModelStructure::test_all_models_have_audit_columns,STALE_TEST_CONTRACT,"DurableApprovalDecision missing audit columns (updated_at, is_deleted, deleted_at)",YES,WP-STALE-ASSERT
tests.test_models_structure.TestORMModelStructure::test_all_models_have_explicit_tablename,STALE_TEST_CONTRACT,PlatformBackupOutcome.__tablename__ platform_backup_outcome not snake_case plural,YES,WP-STALE-ASSERT
tests.test_models_structure.TestORMModelStructure::test_all_models_have_uuid_primary_key,STALE_TEST_CONTRACT,DurableApprovalDecision pk named decision_id; test expects id,YES,WP-STALE-ASSERT
tests.test_models_structure.TestPublicBaseModel::test_public_base_model_has_audit_columns,STALE_TEST_CONTRACT,"PublicBaseModel missing audit columns (updated_at, is_deleted, deleted_at)",YES,WP-STALE-ASSERT
tests.test_payments_schema_contract.TestLiveRetailerPricesContract::test_live_created_at_not_null,CONFIRMED_MIGRATION_GAP,G1: t_dev.retailer_prices DDL mismatch — wrong constraint names from old migration,YES,WP-MIG-G1-RETAILER
tests.test_payments_schema_contract.TestLiveRetailerPricesContract::test_live_has_check_constraint,CONFIRMED_MIGRATION_GAP,G1: t_dev.retailer_prices DDL mismatch — wrong constraint names from old migration,YES,WP-MIG-G1-RETAILER
tests.test_payments_schema_contract.TestLiveRetailerPricesContract::test_live_has_price,CONFIRMED_MIGRATION_GAP,G1: t_dev.retailer_prices DDL mismatch — wrong constraint names from old migration,YES,WP-MIG-G1-RETAILER
tests.test_payments_schema_contract.TestLiveRetailerPricesContract::test_live_has_retailer_id,CONFIRMED_MIGRATION_GAP,G1: t_dev.retailer_prices DDL mismatch — wrong constraint names from old migration,YES,WP-MIG-G1-RETAILER
