check_id,file_path,line_number,mechanism,verdict,minimal_fix
REFS-CANDIDATE-REMOTE,N/A,N/A,"origin branch zcode/dc12r1-mvp-l1-he2-et1-r2-r2-r1-baseline-child-proof-truth-2026-08-29 == 7fdb7c59ae23cf3891a99420bebd60cb8802be06; re-verified unchanged at close",INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
REFS-KILO-REMOTE,N/A,N/A,"origin branch reports/dc12r1-mvp-l1-he2-et1-r2-r2-r1-v1-kilo-final-cumulative-review-2026-08-29 == 38ea191d62c40b00b2de97c5d967cfb6c0717159",INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
WORKTREE-DETACHED-FRESH,N/A,N/A,"detached worktree at 7fdb7c59; porcelain clean entire round; removed and deregistered at close",INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
INFRA-PG-ROLE,harness-governance/tests/run_e2e_core_chain.py,N/A,"live pg_roles: dc12r1v2_run rolsuper=false rolcreatedb=true rolcreaterole=false rolreplication=false on fresh PG16 container",INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
INFRA-REDIS-DB15-EMPTY,N/A,N/A,"fresh redis7 DB15: SELECT 15 OK, DBSIZE=0 before runs, 0 after runs; requirepass(16379) and plain(16380) containers",INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
INFRA-SENTINEL-UNREACHABLE,N/A,N/A,"127.0.0.1:26379 ConnectionRefused before/during/after; RL6 proves reachable-sentinel VOIDs",INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
E2E-CORE-CHAIN,harness-governance/tests/run_e2e_core_chain.py,N/A,"8/8 PASS on fresh PG16+redis7; GREEN rc=0 FINISHED sentinel=1 collect_child_spawns=1 nonce_match; 7 RED traps VOID sentinel=0 incl. live superuser",INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
E2E-REDIS-LIVE,harness-governance/tests/run_e2e_redis_cases.py,N/A,"7/7 PASS on fresh plain redis7: green/wrong-db/invalid-port/nonempty/post-preflight-gone(child fail-closed)/unreachable/sentinel-reachable; negatives sentinel=0",AUTHORITATIVE_INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
AUTH-REQUIREPASS-POSITIVE,harness-governance/validator/redis_authority.py,N/A,"live requirepass container: AUTH from URL, PING=PONG, SELECT 15 OK, DBSIZE=0, auth_used=true; also full-chain GREEN on this container",INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
AUTH-REQUIREPASS-NEGATIVE,harness-governance/validator/authority_runner.py,N/A,"wrong password: library probe fail-closed auth_failed; full CLI run rc=14 VOID sentinel_calls=0 no traceback",INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
AUTH-ACL-POSITIVE,harness-governance/validator/redis_authority.py,N/A,"ACL user: two-arg AUTH ok, acl_username_used=true, DB15 checks pass",INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
AUTH-ACL-NEGATIVE,harness-governance/validator/redis_authority.py,N/A,"username without password fail-closed auth_misconfigured",INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
NEG-MALFORMED-URL,harness-governance/validator/redis_authority.py,N/A,"no-scheme / broken IPv6 bracket / double-port URLs -> sanitized url_malformed; RL7 invalid-port full-chain rc=14 VOID sentinel=0",INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
NEG-POST-PREFLIGHT-GONE,harness-governance/tests/run_e2e_redis_cases.py,N/A,"RL5: redis stopped after preflight -> child sessionstart fail-closed (redis:* problems), collect trap, sentinel=0",INDEPENDENT_FRESH_RUNTIME_EVIDENCE,None
