id,kind,status,detail,hash_algorithm,hash,path_relative_to_evidence_root
R2-01,verdict,STOP,"TEST_ERROR: formal pytest rc=1, ERROR at setup of first node (fixture migration subprocess); alembic env.py:38 configparser interpolation rejects '%' in URL (percent-encoded password); pre-connect, zero DB writes; adjudication candidate-vs-env left to CTO",,,
R2-02,counter,recorded,"formal OS attempts V1=1 R1=0 R2=1 cumulative=2; test_bodies cumulative=0; collect 1+1+1; config_checks R1=2 R2=2 rc=0; offline_selftest 6 (5 PREPARATION_RED+1 PASS); provisioning 3 rounds x1 rc=0; preflight R1=1(rc=1) R2=1(rc=0)",,,
R2-03,identity,recorded,"candidate e0a6363958142ecfbfc48f68cce73fb3a6c32349; parent ae8418d20c65b8eff27b6c0256aa6b668be6d3ed; R1 parent c75d1f7e7aed8617321e233eade8b4884dbd3896; Kilo 22ba1059c1f018f8ca848b1beef785365b1dfc0a parent==candidate; prior R1 report 52ebf32dbcb5a4f03a157df5f245c0d329926154",git-object-id,,
R2-04,gate,pass,"P0 proofs incl. prior STOP SHA-256 values (V1 25625775...; R1 7e9e9be2...), pathsets, worktree bytes, baseline c8f3aa24...",SHA-256,c11a8e185036cb289cf89a79e6ed6ae95d747be71f916a28dc564cfb5ba2c268,logs/p0_proof.log
R2-05,gate,pass,"CTO config_load_check.py original (4221 bytes) reused; P1 first run rc=0, 24 booleans true, 0 connections",SHA-256,4d2e97b0801d1cc4c50052316650b650dce330af6c9af81a447d05f147b72335,scripts/config_load_check.py
R2-06,gate,pass,"offline sample matrix 41/41 rc=0: docker pos x2/neg x15, R1 regression, PG neg x13, aggregation, leak neg x3; same code path as formal preflight",SHA-256,ec1a9741796c24320a658e5c31d0e0da4575691b6ccee9c5e80200f5a6adb07a,logs/offline_selftest_r2.log
R2-07,gate,recorded,"PREPARATION_RED=5 all recorded and fixed (stale call, missing field, kwarg, arg, sample semantics); no deletion of preparation failures",SHA-256,ddea7631597324ed06721f9e2aad7746743bb13ade820c7941be7f49c1f68a98,logs/preparation_record.md
R2-08,gate,pass,"freeze manifest: OFFLINE_PREFLIGHT_QUALIFIED=true; zero post-freeze changes",SHA-256,cca2376c8c57463ef1a179b756c09299c775625fb5bcc0054ed089ee136f7129,logs/freeze_manifest.md
R2-09,gate,pass,"per-file frozen script SHA-256 index",SHA-256,5633435c9b26e6d2f99324c49d7a059dea9cdedbc8eb7979b684e9977b7176b2,logs/script_sha_index.log
R2-10,gate,pass,"P2 frozen config check rc=0 (byte-identical output to P1 run)",SHA-256,33c937bd101f951e373d5f9443405eac83b03f25c82d07b143f61674bf2545cc,logs/config_check_p2_r2.json
R2-11,gate,pass,"P2 collect-only rc=0, 21 nodes",SHA-256,7afcab5e7c097edaa96a8377a37659c797a6de7bcd61b3601f4434267ae3d67c,logs/collect_only_r2.log
R2-12,gate,pass,"21 nodeids archived (derived from archived log; no re-collection)",SHA-256,051781d7b092b9d58f4982bc861cb354b77db1d56224f2bfbc4fa6fb553600d5,logs/collect_nodeids_r2.txt
