phase,check_id,description,result,severity,evidence
Phase 1: Proof Gate,PG-01,git fetch --all --prune 完成,PASS,INFO,远程分支 codex/dc12r1-mvp-l1-he2-r3-r1-scanner-all-file-scope-evidence-truth-closure-2026-08-25 存在
Phase 1: Proof Gate,PG-02,candidate == remote tip,PASS,INFO,68a68027e6b2d57ab35a77142b187c6301762de5 == origin/codex/...
Phase 1: Proof Gate,PG-03,candidate^ == d7ea8027,PASS,INFO,git rev-parse HEAD~1 = d7ea8027bf7d4ba5ec0a8d2f92965e5061680f34
Phase 1: Proof Gate,PG-04,94b0c300 是祖先,PASS,INFO,git merge-base --is-ancestor 94b0c300 HEAD = true
Phase 1: Proof Gate,PG-05,R3-R1 delta 恰好 6 文件,PASS,INFO,git diff --name-status d7ea8027..HEAD = 6 文件
Phase 1: Proof Gate,PG-06,累计 delta 恰好 19 文件,PASS,INFO,git diff --name-status 94b0c300..HEAD = 19 文件
Phase 1: Proof Gate,PG-07,product-dev-recovered/main 与产品路径未变,PASS,INFO,git diff --name-only 94b0c300..HEAD 无产品路径
Phase 2: Cumulative Source Review,CSR-01,治理核心不可由配置或 waiver 关闭,PASS,INFO,PROTECTED_PATHS 硬编码在 harness_governance_validator.py:87-94
Phase 2: Cumulative Source Review,CSR-02,Config 无法移除保护路径,PASS,INFO,_check_config_semantics 验证 governed-paths.json 不能移除 PROTECTED_PATHS
Phase 2: Cumulative Source Review,CSR-03,Waiver 不能覆盖保护路径,PASS,INFO,_check_waivers line 978-987: WVR-PATH-PROTECTED
Phase 2: Cumulative Source Review,CSR-04,最小 governed prefixes 不可移除,PASS,INFO,MINIMUM_GOVERNED_PREFIXES = (backend/, frontend/src/, scenarios/) 硬编码
Phase 2: Cumulative Source Review,CSR-05,Semantic inventory sync 不可由 notes/无关 JSON 绕过,PASS,INFO,NON_SEMANTIC_FIELDS = frozenset({notes})
Phase 2: Cumulative Source Review,CSR-06,Sync 要求实际记录变更,PASS,INFO,_check_semantic_sync line 1417-1421: changed_keys 通过 semantic_view 比较
Phase 2: Cumulative Source Review,CSR-07,Waiver 路径必须非空且无通配符,PASS,INFO,_check_waivers line 957-977
Phase 2: Cumulative Source Review,CSR-08,Waiver 过期自动失效,PASS,INFO,is_expired check: expires < today -> WVR-EXPIRED
Phase 2: Cumulative Source Review,CSR-09,owner/reason/risk/approval/dates 必填,PASS,INFO,schema validation + _check_waivers
