node_id,file,node_name,status,full_suite_outcome,classification
tests/business/test_s4e_stock_reservation_lifecycle_audit.py::test_fulfillment_consumes_only_this_order_reservation_and_deducts_on_hand,test_s4e_stock_reservation_lifecycle_audit.py,test_fulfillment_consumes_only_this_order_reservation_and_deducts_on_hand,FAILED,"fastapi.exceptions.HTTPException: 400: {'code': 'PAYMENT_BODY_REQUIRED', 'message': 'Payment body with method and positive amount is required'}",api_contract_change
tests/business/test_s4e_stock_reservation_lifecycle_audit.py::test_return_restores_on_hand_without_creating_reservation,test_s4e_stock_reservation_lifecycle_audit.py,test_return_restores_on_hand_without_creating_reservation,FAILED,"fastapi.exceptions.HTTPException: 400: {'code': 'PAYMENT_BODY_REQUIRED', 'message': 'Payment body with method and positive amount is required'}",api_contract_change
tests/business/test_s4e_stock_reservation_lifecycle_audit.py::test_concurrent_fulfill_consumes_reservation_once_and_writes_one_movement,test_s4e_stock_reservation_lifecycle_audit.py,test_concurrent_fulfill_consumes_reservation_once_and_writes_one_movement,FAILED,"fastapi.exceptions.HTTPException: 400: {'code': 'PAYMENT_BODY_REQUIRED', 'message': 'Payment body with method and positive amount is required'}",api_contract_change
tests/business/test_s4e_stock_reservation_lifecycle_audit.py::test_reserve_release_and_consume_movement_boundaries,test_s4e_stock_reservation_lifecycle_audit.py,test_reserve_release_and_consume_movement_boundaries,FAILED,"fastapi.exceptions.HTTPException: 400: {'code': 'PAYMENT_BODY_REQUIRED', 'message': 'Payment body with method and positive amount is required'}",api_contract_change
tests/business/test_s4f_business_invariant_closeout.py::test_pay_preserves_inventory_reservation_and_existing_phase5_ledger_semantics,test_s4f_business_invariant_closeout.py,test_pay_preserves_inventory_reservation_and_existing_phase5_ledger_semantics,FAILED,"fastapi.exceptions.HTTPException: 400: {'code': 'PAYMENT_BODY_REQUIRED', 'message': 'Payment body with method and positive amount is required'}",api_contract_change
tests/business/test_s4f_business_invariant_closeout.py::test_fulfill_consumes_owned_reservation_writes_movement_and_duplicate_is_stable,test_s4f_business_invariant_closeout.py,test_fulfill_consumes_owned_reservation_writes_movement_and_duplicate_is_stable,FAILED,"fastapi.exceptions.HTTPException: 400: {'code': 'PAYMENT_BODY_REQUIRED', 'message': 'Payment body with method and positive amount is required'}",api_contract_change
tests/business/test_s4f_business_invariant_closeout.py::test_return_restores_on_hand_without_re_reserving_and_duplicate_is_stable,test_s4f_business_invariant_closeout.py,test_return_restores_on_hand_without_re_reserving_and_duplicate_is_stable,FAILED,"fastapi.exceptions.HTTPException: 400: {'code': 'PAYMENT_BODY_REQUIRED', 'message': 'Payment body with method and positive amount is required'}",api_contract_change
tests/business/test_s4f_business_invariant_closeout.py::test_cancel_confirmed_releases_reservation_and_paid_or_fulfilled_cancel_is_rejected,test_s4f_business_invariant_closeout.py,test_cancel_confirmed_releases_reservation_and_paid_or_fulfilled_cancel_is_rejected,FAILED,"fastapi.exceptions.HTTPException: 400: {'code': 'PAYMENT_BODY_REQUIRED', 'message': 'Payment body with method and positive amount is required'}",api_contract_change
tests/test_dc3b_credential_recovery_backend.py::test_forgot_password_neutral_for_existing_and_nonexistent_email,test_dc3b_credential_recovery_backend.py,test_forgot_password_neutral_for_existing_and_nonexistent_email,FAILED,"ValueError: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])",bcrypt_version_incompatibility
tests/test_dc3b_credential_recovery_backend.py::test_production_fail_closed_creates_no_token,test_dc3b_credential_recovery_backend.py,test_production_fail_closed_creates_no_token,FAILED,"ValueError: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])",bcrypt_version_incompatibility
tests/test_dc3b_credential_recovery_backend.py::test_reset_token_stored_hash_only_raw_never_persisted,test_dc3b_credential_recovery_backend.py,test_reset_token_stored_hash_only_raw_never_persisted,FAILED,"ValueError: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])",bcrypt_version_incompatibility
tests/test_dc3b_credential_recovery_backend.py::test_reset_with_valid_token_updates_password,test_dc3b_credential_recovery_backend.py,test_reset_with_valid_token_updates_password,FAILED,"ValueError: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])",bcrypt_version_incompatibility
tests/test_dc3b_credential_recovery_backend.py::test_invalid_states_fail_neutrally,test_dc3b_credential_recovery_backend.py,test_invalid_states_fail_neutrally,FAILED,"ValueError: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])",bcrypt_version_incompatibility
tests/test_dc3b_credential_recovery_backend.py::test_query_string_token_rejected,test_dc3b_credential_recovery_backend.py,test_query_string_token_rejected,FAILED,"ValueError: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])",bcrypt_version_incompatibility
tests/test_dc3b_credential_recovery_backend.py::test_reset_updates_both_tenant_copies,test_dc3b_credential_recovery_backend.py,test_reset_updates_both_tenant_copies,FAILED,"ValueError: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])",bcrypt_version_incompatibility
tests/test_dc3b_credential_recovery_backend.py::test_login_succeeds_after_reset_with_multiple_copies,test_dc3b_credential_recovery_backend.py,test_login_succeeds_after_reset_with_multiple_copies,FAILED,"ValueError: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])",bcrypt_version_incompatibility
tests/test_dc3b_credential_recovery_backend.py::test_setup_credential_propagates_to_other_tenant_copies,test_dc3b_credential_recovery_backend.py,test_setup_credential_propagates_to_other_tenant_copies,FAILED,"ValueError: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])",bcrypt_version_incompatibility
tests/test_dc3b_credential_recovery_backend.py::test_no_internal_ids_tokens_hashes_in_public_responses,test_dc3b_credential_recovery_backend.py,test_no_internal_ids_tokens_hashes_in_public_responses,FAILED,"ValueError: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])",bcrypt_version_incompatibility
tests/test_dc3b_credential_recovery_backend.py::test_r1_different_passwords_isolates_unverified_tenant,test_dc3b_credential_recovery_backend.py,test_r1_different_passwords_isolates_unverified_tenant,FAILED,"ValueError: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])",bcrypt_version_incompatibility
tests/test_dc3b_credential_recovery_backend.py::test_r1_same_password_different_user_ids_selects_both,test_dc3b_credential_recovery_backend.py,test_r1_same_password_different_user_ids_selects_both,FAILED,"ValueError: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])",bcrypt_version_incompatibility
tests/test_dc3b_credential_recovery_backend.py::test_r1_after_reset_both_copies_login_and_select,test_dc3b_credential_recovery_backend.py,test_r1_after_reset_both_copies_login_and_select,FAILED,"ValueError: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])",bcrypt_version_incompatibility
tests/test_dc3b_credential_recovery_backend.py::test_r1_identity_refresh_preserves_tenant_selection,test_dc3b_credential_recovery_backend.py,test_r1_identity_refresh_preserves_tenant_selection,FAILED,"ValueError: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])",bcrypt_version_incompatibility
tests/test_dc3b_credential_recovery_backend.py::test_r1_no_internal_mapping_in_public_responses,test_dc3b_credential_recovery_backend.py,test_r1_no_internal_mapping_in_public_responses,FAILED,"ValueError: password cannot be longer than 72 bytes, truncate manually if necessary (e.g. my_password[:72])",bcrypt_version_incompatibility
tests/test_models_structure.py::TestORMModelStructure::test_all_models_have_uuid_primary_key,test_models_structure.py,TestORMModelStructure::test_all_models_have_uuid_primary_key,FAILED,"AssertionError: DurableApprovalDecision primary key must be named 'id', got 'decision_id'",model_pk_gate
