section,check_id,check,expected,observed,result,note
S1,S1.1,E2 delta = exactly 3 files,3 files,"3 files (console, manifest, closure md)",PASS,git diff --name-only 0b6153e fdf15ed
S1,S1.2,E2 delta files identified,console+manifest+closure,"full_browser_console.txt, sha256_manifest.txt, EVIDENCE_PACKAGING_CLOSURE.md",PASS,
S2,S2.1,full_browser.json identical E1->E2,identical,identical,PASS,
S2,S2.2,full_browser_junit.xml identical E1->E2,identical,identical,PASS,
S2,S2.3,pw1r4b4v3_findings_full_162.csv identical E1->E2,identical,identical,PASS,
S2,S2.4,reconciliation.json identical E1->E2,identical,identical,PASS,
S2,S2.5,failure_set.json identical E1->E2,identical,identical,PASS,
S2,S2.6,required_greens.json identical E1->E2,identical,identical,PASS,
S2,S2.7,stability_gate/verdict/test_list/README identical E1->E2,identical,identical,PASS,
S3,S3.1,no test rerun; 160/2 facts unchanged,unchanged,verified via identical result files,PASS,
S4,S4.1,console strict UTF-8,UTF-8,strict decode OK,PASS,
S4,S4.2,console no BOM,no BOM,first bytes != EF BB BF,PASS,
S4,S4.3,console LF line endings,LF only,no CRLF,PASS,
S4,S4.4,console mojibake = 0,0,no decode errors,PASS,
S4,S4.5,console text identical after encoding/line normalization,identical,E1(UTF-16)->norm == E2(UTF-8 LF),PASS,
S5,S5.1,manifest 19 stably-sorted entries,19,"19 entries, alphabetical",PASS,
S5,S5.2,manifest excludes itself,excluded,sha256_manifest.txt not listed,PASS,
S5,S5.3,clean detached-checkout recompute missing=0,0,0,PASS,
S5,S5.4,clean detached-checkout recompute extra=0 (self only),self only,on-disk unlisted = manifest itself by design,PASS,
S5,S5.5,clean detached-checkout recompute mismatch=0,0,0,PASS,
S6,S6.1,trailing-whitespace lines precisely 4,4,4,PASS,git diff --check
S6,S6.2,trailing whitespace only in console output,console only,all 4 in full_browser_console.txt,PASS,
S6,S6.3,4 lines present in original UTF-16 decoded text,present,sets equal E1 vs E2,PASS,
S6,S6.4,closure/manifest/other evidence git diff --check clean,clean,only console flagged,PASS,
S7,S7.1,scoped detect-secrets = 0,0,no JWT/Bearer/key/SECRET,PASS,
S7,S7.2,UTF-8 / mojibake clean,clean,mojibake=0 across evidence,PASS,
S8,S8.1,product-dev-recovered ref unchanged,888683ba,888683ba23c14b48a102289a29f9b7adf674fdaf,PASS,
S8,S8.2,B4 candidate ref unchanged,9f24d96,9f24d969e30a2c8ed3ae9e0eddebae170089292a,PASS,
S8,S8.3,main ref unchanged,134ea59e,134ea59e02204842e55ebe36f721f44df5a33737,PASS,
