ID,Phase,Check,Result,Severity,Status,Detail
KILO-H7R14V1-001,P1,Proof gate: SHAs/parent/ancestry/remote equality,PASS,info,VERIFIED,"Candidate b2b08ab0 == source branch tip; protected a6ef3aac unchanged; parent 5a27e56d (R13); protected is ancestor; detached tree clean"
KILO-H7R14V1-002,P2,Exact five-file R14 scope,PASS,info,VERIFIED,"git diff --name-status 5a27e56d..b2b08ab0 = exactly 5 files (setup.sh, parity test, ai-ledger md, PROJECT.md, CTO_CURRENT_OPS.md); no forbidden path"
KILO-H7R14V1-003,P2,Immutable files byte-identical R13->R14,PASS,info,VERIFIED,"19 immutable paths git diff --quiet exit 0; blob hashes identical (setup_preflight.py 76ead580..., alembic/env.py 1c71de78..., docker-compose.yml 2cc2dd57..., requirements.txt ca999e85..., poetry.lock d93314ce..., etc.)"
KILO-H7R14V1-004,P3,setup.sh DATABASE_URL delivery path,PASS,info,VERIFIED,"Export at L119 before alembic L122; bootstrap L125 same env var; unset L129; no intermediate reassignment"
KILO-H7R14V1-005,P3,No second .env parser / no set -a / no source,PASS,info,VERIFIED,"Only setup_preflight.parse_env_file reads .env; set -Eeuo pipefail (no -a); only export DATABASE_URL"
KILO-H7R14V1-006,P4,Secret/process boundary,PASS,info,VERIFIED,"No xtrace; URL env-only (never argv/log/stdout/stderr); sentinel absent from all captures; unset after bootstrap"
KILO-H7R14V1-007,P5,Mutation harness authenticity,PASS,info,VERIFIED,"6 R14 tests; each mutates real setup.sh + runs subprocess; fakes enforce URL identity vs .env; 35/35 GREEN/RED genuine"
KILO-H7R14V1-008,P5,Exit 42/43/44 + sentinel hygiene,PASS,info,VERIFIED,"alembic 42 / bootstrap 43 / pnpm 44 preserved; sentinel absent argv/log/stdout/stderr"
KILO-H7R14V1-009,P8,Quality gates,PASS,info,VERIFIED,"bash -n exit 0; py_compile exit 0; git diff --check exit 0; detect-secrets exit 0; pre-commit Passed (baseline restored); UTF-8 clean"
KILO-H7R14V1-010,P7,Inherited closures preserved,PASS,info,VERIFIED,"docker-compose.yml no container_name; COMPOSE_PROJECT_NAME never assigned; config after --env-file COMPOSE array; deps/poetry.lock unchanged; Hypothesis test untouched"
KILO-H7R14V1-011,P6,Runtime: direct preflight,PASS,info,VERIFIED,"poetry run pytest test_dc12r1_h7_setup_preflight.py = 133 passed"
KILO-H7R14V1-012,P6,Runtime: executable harness,PASS,info,VERIFIED,"TestH7R5R2ExecutableHarness = 35 passed, 0 skip/xfail (Git Bash present; real run)"
KILO-H7R14V1-013,P6,Runtime: full H7 both orders,HOST_ENVIRONMENT_LIMITATION,info,DISCLOSED,"262 expected; Kilo measured 260 passed / 2 failed both orders. Failures: TestH7R4InstalledRuntime cryptography version assert '46.0.4'=='46.0.5'. Kilo venv provisioned cryptography 46.0.4 vs pinned 46.0.5; R14 unchanged deps (requirements.txt/poetry.lock byte-identical). NOT an R14 defect; do not claim zero-red"
KILO-H7R14V1-014,P8,GitNexus analyze/status,PASS,info,VERIFIED,"status was stale (872250b); analyze re-indexed (15029 nodes, cf04a51, up-to-date). No detect_changes subcommand; exact git diff authoritative"
KILO-H7R14V1-015,P9,Doc overclaim check,PASS,info,VERIFIED,"R14 docs state NO PASS + STOP_AND_REPORT_CTO_AWAITING_KILO_AND_LUBUNTU_ZERO_RED; no native-Linux/deploy/Playwright/VPS/merge overclaim; merge deferred to Lubuntu V4"
