file,project,title,status,source
auth-matrix.spec.ts,desktop,"W1 single-tenant wholesaler admin: login API 200, auto select-tenant 200, lands on /",passed,auth_matrix_final_run
auth-matrix.spec.ts,desktop,"W2 second wholesaler admin: independent tenant, login + select-tenant 200",passed,auth_matrix_final_run
auth-matrix.spec.ts,desktop,RA multi-tenant login: response carries 2 availableTenants into workspace selector,passed,auth_matrix_final_run
auth-matrix.spec.ts,desktop,"RB retailer portal login: client auth API 200, lands on /client",passed,auth_matrix_final_run
auth-matrix.spec.ts,desktop,RA retailer portal login at W1 portal: lands on /client,passed,auth_matrix_final_run
auth-matrix.spec.ts,desktop,"wrong password on wholesaler login: API 401, stays on /login, no token persisted",passed,auth_matrix_final_run
auth-matrix.spec.ts,desktop,"wrong password on retailer portal: API 401, stays on portal, neutral message",passed,auth_matrix_final_run
auth-matrix.spec.ts,desktop,/select-workspace direct access without navigation state redirects to /login,passed,auth_matrix_final_run
auth-matrix.spec.ts,desktop,logout clears mpango-auth session and returns to /login,passed,auth_matrix_final_run
auth-matrix.spec.ts,tablet,"W1 single-tenant wholesaler admin: login API 200, auto select-tenant 200, lands on /",passed,auth_matrix_final_run
auth-matrix.spec.ts,tablet,"W2 second wholesaler admin: independent tenant, login + select-tenant 200",passed,auth_matrix_final_run
auth-matrix.spec.ts,tablet,RA multi-tenant login: response carries 2 availableTenants into workspace selector,passed,auth_matrix_final_run
auth-matrix.spec.ts,tablet,"RB retailer portal login: client auth API 200, lands on /client",passed,auth_matrix_final_run
auth-matrix.spec.ts,tablet,RA retailer portal login at W1 portal: lands on /client,passed,auth_matrix_final_run
auth-matrix.spec.ts,tablet,"wrong password on wholesaler login: API 401, stays on /login, no token persisted",passed,auth_matrix_final_run
auth-matrix.spec.ts,tablet,"wrong password on retailer portal: API 401, stays on portal, neutral message",passed,auth_matrix_final_run
auth-matrix.spec.ts,tablet,/select-workspace direct access without navigation state redirects to /login,passed,auth_matrix_final_run
auth-matrix.spec.ts,tablet,logout clears mpango-auth session and returns to /login,passed,auth_matrix_final_run
auth-matrix.spec.ts,mobile,"W1 single-tenant wholesaler admin: login API 200, auto select-tenant 200, lands on /",failed,auth_matrix_final_run
auth-matrix.spec.ts,mobile,"W2 second wholesaler admin: independent tenant, login + select-tenant 200",passed,auth_matrix_final_run
auth-matrix.spec.ts,mobile,RA multi-tenant login: response carries 2 availableTenants into workspace selector,passed,auth_matrix_final_run
auth-matrix.spec.ts,mobile,"RB retailer portal login: client auth API 200, lands on /client",passed,auth_matrix_final_run
auth-matrix.spec.ts,mobile,RA retailer portal login at W1 portal: lands on /client,passed,auth_matrix_final_run
auth-matrix.spec.ts,mobile,"wrong password on wholesaler login: API 401, stays on /login, no token persisted",passed,auth_matrix_final_run
auth-matrix.spec.ts,mobile,"wrong password on retailer portal: API 401, stays on portal, neutral message",passed,auth_matrix_final_run
auth-matrix.spec.ts,mobile,/select-workspace direct access without navigation state redirects to /login,passed,auth_matrix_final_run
auth-matrix.spec.ts,mobile,logout clears mpango-auth session and returns to /login,failed,auth_matrix_final_run
phase1-routes.spec.ts,desktop,backend health endpoints are 200 (live/ready),NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,desktop,frontend serves the SPA shell,NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,desktop,wholesaler routes redirect anonymous users to /login,NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,desktop,retailer /client routes redirect anonymous users to retailer portal or /login,NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,desktop,/client/login alias redirects to /retail/login preserving w,NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,desktop,public auth pages are reachable anonymously,NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,desktop,unknown route renders the 404 page (no crash),NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,desktop,invalid portal code shows controlled invalid-portal state with zero login API calls,NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,tablet,backend health endpoints are 200 (live/ready),NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,tablet,frontend serves the SPA shell,NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,tablet,wholesaler routes redirect anonymous users to /login,NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,tablet,retailer /client routes redirect anonymous users to retailer portal or /login,NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,tablet,/client/login alias redirects to /retail/login preserving w,NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,tablet,public auth pages are reachable anonymously,NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,tablet,unknown route renders the 404 page (no crash),NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,tablet,invalid portal code shows controlled invalid-portal state with zero login API calls,NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,mobile,backend health endpoints are 200 (live/ready),NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,mobile,frontend serves the SPA shell,NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,mobile,wholesaler routes redirect anonymous users to /login,NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,mobile,retailer /client routes redirect anonymous users to retailer portal or /login,NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,mobile,/client/login alias redirects to /retail/login preserving w,NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,mobile,public auth pages are reachable anonymously,NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,mobile,unknown route renders the 404 page (no crash),NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
phase1-routes.spec.ts,mobile,invalid portal code shows controlled invalid-portal state with zero login API calls,NOT_RUN_PRE_GATE_BLOCKED,full_matrix_not_executed
