"idx","project","file","line","title","status","category","error_excerpt"
"1","desktop","auth-matrix.spec.ts","18","W1 single-tenant wholesaler admin: login API 200, auto select-tenant 200, lands on /","passed","",""
"2","desktop","auth-matrix.spec.ts","28","W2 second wholesaler admin: independent tenant, login + select-tenant 200","passed","",""
"3","desktop","auth-matrix.spec.ts","36","RA multi-tenant login: response carries 2 availableTenants into workspace selector","passed","",""
"4","desktop","auth-matrix.spec.ts","68","RB retailer portal login: client auth API 200, lands on /client","passed","",""
"5","desktop","auth-matrix.spec.ts","73","RA retailer portal login at W1 portal: lands on /client","passed","",""
"6","desktop","auth-matrix.spec.ts","78","wrong password on wholesaler login: API 401, stays on /login, no token persisted","passed","",""
"7","desktop","auth-matrix.spec.ts","96","wrong password on retailer portal: API 401, stays on portal, neutral message","passed","",""
"8","desktop","auth-matrix.spec.ts","112","/select-workspace direct access without navigation state redirects to /login","passed","",""
"9","desktop","auth-matrix.spec.ts","118","logout clears mpango-auth session and returns to /login","passed","",""
"10","tablet","auth-matrix.spec.ts","18","W1 single-tenant wholesaler admin: login API 200, auto select-tenant 200, lands on /","passed","",""
"11","tablet","auth-matrix.spec.ts","28","W2 second wholesaler admin: independent tenant, login + select-tenant 200","passed","",""
"12","tablet","auth-matrix.spec.ts","36","RA multi-tenant login: response carries 2 availableTenants into workspace selector","passed","",""
"13","tablet","auth-matrix.spec.ts","68","RB retailer portal login: client auth API 200, lands on /client","passed","",""
"14","tablet","auth-matrix.spec.ts","73","RA retailer portal login at W1 portal: lands on /client","passed","",""
"15","tablet","auth-matrix.spec.ts","78","wrong password on wholesaler login: API 401, stays on /login, no token persisted","passed","",""
"16","tablet","auth-matrix.spec.ts","96","wrong password on retailer portal: API 401, stays on portal, neutral message","passed","",""
"17","tablet","auth-matrix.spec.ts","112","/select-workspace direct access without navigation state redirects to /login","passed","",""
"18","tablet","auth-matrix.spec.ts","118","logout clears mpango-auth session and returns to /login","passed","",""
"19","mobile","auth-matrix.spec.ts","18","W1 single-tenant wholesaler admin: login API 200, auto select-tenant 200, lands on /","passed","",""
"20","mobile","auth-matrix.spec.ts","28","W2 second wholesaler admin: independent tenant, login + select-tenant 200","passed","",""
"21","mobile","auth-matrix.spec.ts","36","RA multi-tenant login: response carries 2 availableTenants into workspace selector","passed","",""
"22","mobile","auth-matrix.spec.ts","68","RB retailer portal login: client auth API 200, lands on /client","passed","",""
"23","mobile","auth-matrix.spec.ts","73","RA retailer portal login at W1 portal: lands on /client","passed","",""
"24","mobile","auth-matrix.spec.ts","78","wrong password on wholesaler login: API 401, stays on /login, no token persisted","passed","",""
"25","mobile","auth-matrix.spec.ts","96","wrong password on retailer portal: API 401, stays on portal, neutral message","passed","",""
"26","mobile","auth-matrix.spec.ts","112","/select-workspace direct access without navigation state redirects to /login","passed","",""
"27","mobile","auth-matrix.spec.ts","118","logout clears mpango-auth session and returns to /login","passed","",""
"28","desktop","phase1-routes.spec.ts","10","backend health endpoints are 200 (live/ready)","passed","",""
"29","desktop","phase1-routes.spec.ts","17","frontend serves the SPA shell","passed","",""
"30","desktop","phase1-routes.spec.ts","24","wholesaler routes redirect anonymous users to /login","passed","",""
"31","desktop","phase1-routes.spec.ts","32","retailer /client routes redirect anonymous users to retailer portal or /login","passed","",""
"32","desktop","phase1-routes.spec.ts","37","/client/login alias redirects to /retail/login preserving w","passed","",""
"33","desktop","phase1-routes.spec.ts","42","public auth pages are reachable anonymously","passed","",""
"34","desktop","phase1-routes.spec.ts","54","unknown route renders the 404 page (no crash)","passed","",""
"35","desktop","phase1-routes.spec.ts","59","invalid portal code shows controlled invalid-portal state with zero login API calls","passed","",""
"36","tablet","phase1-routes.spec.ts","10","backend health endpoints are 200 (live/ready)","passed","",""
"37","tablet","phase1-routes.spec.ts","17","frontend serves the SPA shell","passed","",""
"38","tablet","phase1-routes.spec.ts","24","wholesaler routes redirect anonymous users to /login","passed","",""
