Category,Check,Target,Observed,Result,Severity,Notes
ProofGate,Remote equality,origin/zcode/...m0-merge-package,remote SHA == 0e102da candidate,PASS,INFO,
ProofGate,Direct parent,0e102da~1,== 5e91e97,PASS,INFO,
ProofGate,Protected target ancestor,d2e7e44 -> 0e102da,merge-base ancestor check passed,PASS,INFO,
ProofGate,Source ref unchanged,origin/zcode/...r4-a-tenant-statement-cache-closure,still 5e91e97,PASS,INFO,
Scope,Protected-target file count,d2e7e44..0e102da,exactly 19 files,PASS,P1,
Scope,Protected-target exact categories,19-file diff,3 ledgers + 1 invalid report + 8 backend + 7 frontend,PASS,P1,
Scope,No pw1r2-evidence paths,d2e7e44..0e102da,none,PASS,P1,
Scope,No pw1r3-evidence paths,d2e7e44..0e102da,none,PASS,P1,
Scope,diff-check protected..candidate,d2e7e44..0e102da,exit 0,PASS,P1,
Packaging,Parent freeze,0e102da parent,exactly 5e91e97,PASS,INFO,
Packaging,Backend blob identity,all backend/** in protected delta,all equal to 5e91e97,PASS,P1,
Packaging,Frontend blob identity,all frontend/** in protected delta,all equal to 5e91e97,PASS,P1,
Packaging,R3..M0 delta count,5e91e97..0e102da,50 files,PASS,INFO,48 deletions + 2 ledger mods
Packaging,Only deletions+ledger notes,M0 delta,48 evidence deletions and 2 ledger packaging notes only,PASS,P1,
Packaging,No product/test/config/lockfile drift,M0 delta,no such changes,PASS,P1,
LedgerTruth,PW1-R2 packaging note accuracy,R2 ledger,removed evidence described as historical pointers only,PASS,P1,
LedgerTruth,PW1-R3 packaging note accuracy,R3 ledger,removed evidence described as historical pointers only,PASS,P1,
LedgerTruth,No removed evidence claimed current,modified ledgers,no current-tree claim found,PASS,P1,
LedgerTruth,Historical reachability,efc20644 / 278cca3d / f348f4a / ba9da9b,all reachable remotely,PASS,INFO,
LedgerTruth,R4-A ledger untouched,R4-A ledger blob,unchanged from 5e91e97,PASS,INFO,
LedgerTruth,Invalid-evidence report consistency,2026-08-15_PW1_R2_R2_V2_INVALID_EVIDENCE_RECONCILIATION.md,still matches 162/104/58 and 47/11 split,PASS,P1,
EvidenceChain,Accepted source review reachable,efc206444053af5f568713f5de2a30931c2b3375,reachable on remote report branch,PASS,INFO,
EvidenceChain,Accepted Lubuntu report reachable,278cca3d42860c842cb87b103ac6c2ffd14dd039,reachable on remote report branch,PASS,INFO,
EvidenceChain,No reruns claimed,M0 review,no backend/frontend reruns performed,PASS,INFO,product/test bytes unchanged
EvidenceChain,No residue reinterpretation,accepted evidence chain,no broadening of disposable test rows into production residue,PASS,INFO,
Quality,Scoped detect-secrets,19 changed files,clean,PASS,INFO,
Quality,UTF-8/mojibake,19 changed files,0 U+FFFD hits,PASS,INFO,
Quality,Git diff --check,d2e7e44..0e102da,clean,PASS,INFO,
Quality,GitNexus status,M0 detached worktree,fresh analyze indexed 0e102da current/up-to-date,PASS,INFO,acceptable although no code-symbol changes
Accounting,Findings accounting gap,review packet,zero,PASS,INFO,
