entry_id,layer,route_or_function,caller_kind,allowed_from,target,read_path,lock,orm_refresh,inventory_effect,ledger_effect,notification_effect,committer,rollback_on_failure,http_error_codes,identity_and_snapshot_notes,source_anchor
HTTP-W-CREATE,http,POST /api/v1/orders (api/v1/orders.py create_order),wholesaler online,(new order),DRAFT,"binding check (public.wholesaler_retailer_bindings active), server-side SKU+retailer_prices resolution (no client price input in schema)",none (INSERT of new rows; no contention on existing order rows),flush+refresh(order+items) within request tx,"none at create (no reservation until confirm); available stock only pre-checked (COALESCE on_hand)",none,none,"auth middleware finalize_tenant_context commits on status<400 (api/middleware/auth.py:97)","middleware rollback on status>=400; endpoints raise before any write on validation failure","400 RETAILER_NOT_BOUND; 400 ORDER_VALIDATION_FAILED (aggregated item errors)","server-resolved unit_price from retailer_prices; item snapshot fields product_name/sku_code/unit_snapshot/unit_price fixed at insert; identity_status=stable; sellable_unit_id=s.id (skus.id); first SKU reference freezes package identity (has_identity_use_history)","api/v1/orders.py:358-520; crud/order.py:323-387"
HTTP-C-CREATE,http,POST /api/v1/client/orders (api/v1/client/orders.py create_order),retailer online,(new order),DRAFT,"server-side SKU+retailer_prices resolution; retailer_id resolved from JWT identity (never request body)",none (INSERT),flush+refresh within request tx,none at create (stock pre-check only),none,none,auth middleware (same as HTTP-W-CREATE),middleware rollback,"401/403 via auth+RBAC (client:orders:create); 400 ORDER_VALIDATION_FAILED",same server-side pricing + snapshot semantics as wholesaler create; identity_status=stable,api/v1/client/orders.py:105-239
SCRIPT-SEED,script,scripts/seed_demo_data.py,offline seeder,(new order),DRAFT,direct ORM insert,none,flush,none,none,none,script session commit,script rollback,none (offline),"demo data only; not an online path; writes DRAFT orders with explicit items","scripts/seed_demo_data.py:364"
MIGR-003,migration,alembic 003_phase_b3_orders_minimal_closed_loop,one-time data migration,pending/shipped (legacy values),draft/confirmed,UPDATE orders SET status,none (offline migration),n/a,none,none,none,migration connection,manual/re-run,none,"historical one-time normalization (pending->draft; shipped->confirmed); already applied in all live lineages; listed for census completeness","alembic/versions/003_phase_b3_orders_minimal_closed_loop.py:42-45"
MIGR-016-033,migration,alembic 016_add_returned_status + 033_order_status_enum_reconciliation,schema enum maintenance,n/a,n/a,"ALTER TYPE order_status ADD VALUE; 033 validates canonical values (SELECT count of non-canonical rows; raises PreflightFailure if found)",none,n/a,none,none,none,migration connection,n/a,none,"enum TYPE maintenance only: no order row status rewrites exist in any current migration","alembic/versions/016...; alembic/versions/033..."
HTTP-W-CONFIRM,http,POST /api/v1/orders/{order_id}/confirm (confirm_order),wholesaler online,DRAFT (crud STATE_TRANSITIONS confirm.allowed_from),CONFIRMED,"get_order_by_id: plain SELECT, no FOR UPDATE, items selectin-loaded",NONE on order row (crud path assigns status on the unlocked preloaded object),flush+refresh(order+items) but from stale unlocked object,"InventoryService.reserve_on_confirm: per-item stock row FOR UPDATE (populate_existing) in sorted (sku_code id) order; require_active SKU+CatalogProduct; increments quantity_reserved; writes inventory_reservations rows; guards DUPLICATE_RESERVATION / ORDER_ITEM_SELLABLE_ID_REQUIRED / INVALID_RESERVATION_QUANTITY / INSUFFICIENT_AVAILABLE_STOCK",NONE (crud confirm does NOT post post_order_confirmation; service path does — divergence),none,"auth middleware (status<400 commits confirm+reservation atomically)","HTTPException branch + generic branch call db.rollback() in endpoint; InvalidStateTransitionError->409 raised without endpoint rollback -> middleware rolls back","404 ORDER_NOT_FOUND; 409 INVALID_STATE_TRANSITION; 409 DUPLICATE_RESERVATION / INSUFFICIENT_AVAILABLE_STOCK / ORDER_ITEM_SELLABLE_ID_REQUIRED / INVALID_RESERVATION_QUANTITY / SELLABLE_UNIT_UNAVAILABLE (inventory join)","no repricing: confirm touches only status/updated_by; item snapshots untouched; identity enforced via _locked_stock_by_sku_id join (sku_id+sku_code must match active SKU)","api/v1/orders.py:613-669; crud/order.py:390-422; services/inventory_service.py:109-185"
HTTP-W-PAY,http,POST /api/v1/orders/{order_id}/pay (pay_order),wholesaler online,"CONFIRMED or PARTIALLY_PAID (full payment); PAID only as credit collection (cash/transfer)","PAID or PARTIALLY_PAID (cumulative >= total decides); credit-collection stays PAID","_get_order_by_id_for_update: SELECT FOR UPDATE + selectin items; prior_paid and credit exposure read under the lock",ORDER ROW LOCKED (orders FOR UPDATE; first read of the request is the locking read so no stale identity-map refresh issue),locked row is fresh; OrderService.transition re-selects FOR UPDATE in same tx (same object),none (no reservation change on pay),"payment row created (payments INSERT; status pending/completed; receipt only in declaration path); credit: retailers outstanding balance delta (+amount); non-credit reaching PAID: LedgerService.post_payment_received; credit reaching PAID: transition(payment_method=credit) skips cash-settlement entries; credit collection: post_payment_received without transition",none,"auth middleware; IntegrityError branch rolls back then re-checks idempotency replay/conflict","IntegrityError->rollback+idempotency recheck; CanonicalPaymentMutationHttpError->rollback+re-raise; domain transition errors->rollback+409; generic->rollback+raise","400 PAYMENT_BODY_REQUIRED/PAYMENT_AMOUNT_REQUIRED/INVALID_PAYMENT_AMOUNT/PAYMENT_EXCEEDS_REMAINING/CREDIT_SPLIT_TENDER_UNSUPPORTED/CREDIT_AMOUNT_MISMATCH/INVALID_IDEMPOTENCY_KEY*; 409 ORDER_ALREADY_PAID/INVALID_STATE_TRANSITION/DUPLICATE_CREDIT_PAYMENT/IDEMPOTENCY_KEY_CONFLICT/DUPLICATE_TRANSFER_REFERENCE; 404 ORDER_NOT_FOUND","no repricing; amount validated against locked total; item snapshots untouched; payments continue through CanonicalPaymentService only","api/v1/orders.py:672-916; services/canonical_payment_service.py:163-378"
HTTP-W-FULFILL,http,POST /api/v1/orders/{order_id}/fulfill (fulfill_order),wholesaler online,PAID (domain matrix + invariant Rule 4),FULFILLED,"get_order_by_id (plain) then db.expire(order) BEFORE transition — explicit stale-object expiry; OrderService.transition re-locks",ORDER ROW LOCKED via OrderService.transition SELECT FOR UPDATE,yes (expire forces locked SELECT to repopulate; transition also db.refresh after flush),"InventoryService.deduct_on_fulfillment per item: stock FOR UPDATE (populate_existing); decrements quantity_on_hand; consumes reservations (status consumed + consumed_at; quantity/identity match guards); writes inventory_movements deduction row",none (FULFILLED posts no ledger entries in _post_ledger_entries),SMS stub fire-and-forget inside transaction (target FULFILLED; failures logged never raised),auth middleware,"HTTPException + generic branches rollback; domain error branch (409) raised without endpoint rollback -> middleware rollback","404 ORDER_NOT_FOUND; 409 INVALID_STATE_TRANSITION (matrix/invariant); 409 INSUFFICIENT_STOCK/RESERVATION_QUANTITY_MISMATCH/RESERVATION_SELLABLE_ID_MISMATCH/RESERVATION_AGGREGATE_MISMATCH/ORDER_ITEM_SELLABLE_ID_REQUIRED","no repricing; deduct uses order-item snapshot quantity + identity (sellable_unit_id+sku_code join must match); snapshots untouched","api/v1/orders.py:918-1009; services/order_service.py:53-164; services/inventory_service.py:346-454"
HTTP-W-CANCEL,http,POST /api/v1/orders/{order_id}/cancel (cancel_order),wholesaler online,"DRAFT or CONFIRMED (crud matrix only — PAID/PARTIALLY_PAID cancel NOT reachable via this endpoint)",CANCELLED,"get_order_by_id plain SELECT no lock; release_reservation flag computed from this stale read (== 'confirmed')",NONE on order row,NONE (status assigned on stale unlocked object; flush+refresh after),"if pre-computed flag: InventoryService.release_on_cancel — reservations FOR UPDATE sorted (sku_code id) then stock FOR UPDATE per reservation; decrements quantity_reserved; reservation status released + released_at; aggregate guard",NONE (no refund/reversal ledger even when cancelling confirmed orders that posted none; paid-cancel impossible here),none,auth middleware,HTTPException + generic branches rollback; InvalidStateTransitionError 409 without endpoint rollback -> middleware rollback,"404 ORDER_NOT_FOUND; 409 INVALID_STATE_TRANSITION (crud message lists allowed statuses draft/confirmed)","no repricing; snapshots untouched; release keyed to order-owned reservations only","api/v1/orders.py:1012-1069; crud/order.py:498-530; services/inventory_service.py:187-226"
HTTP-W-RETURN,http,POST /api/v1/orders/{order_id}/return (return_order),wholesaler online,FULFILLED (domain matrix + invariant Rule 5),RETURNED,"get_order_by_id plain SELECT; OrderService.transition re-locks (NOTE: no explicit db.expire before transition here — unlike fulfill; within one request the object is request-fresh so no in-request staleness; cross-request staleness is serialized by the FOR UPDATE but attributes are NOT repopulated without expire/populate_existing)",ORDER ROW LOCKED via OrderService.transition,partial: transition refreshes its own object post-flush; the preloaded order attributes were set in this same request so in-request correct; cross-request concurrent writers depend on lock + matrix check reading the identity-mapped status,"InventoryService.restock_on_return per item: stock FOR UPDATE (populate_existing); increments quantity_on_hand; writes inventory_movements restock row",LedgerService.post_order_return (reversal entries) posted INSIDE transition before inventory restock,none (notifications only for CONFIRMED/FULFILLED),auth middleware,HTTPException + generic branches rollback; domain 409 without endpoint rollback -> middleware rollback,"404 ORDER_NOT_FOUND; 409 INVALID_STATE_TRANSITION","no repricing; restock uses snapshot quantity + identity join; snapshots untouched","api/v1/orders.py:1072-1160; services/order_service.py:53-164; services/inventory_service.py:590-644"
