node_id,file,test_name,position,category,error_type,error_message,isolation_result,root_cause
tests/test_dc10e_export_worker_tenant_context.py::test_worker_real_reporting_session_has_required_tenant_context,test_dc10e_export_worker_tenant_context.py,test_worker_real_reporting_session_has_required_tenant_context,105,PRE_EXISTING,ProgrammingError,"UndefinedTableError: relation ""mv_sales_daily"" does not exist",FAILS_ALONE,export_report_worker queries unqualified mv_sales_daily without tenant search_path
tests/test_dc10e_export_worker_tenant_context.py::test_valid_tenant_export_creates_metadata_and_downloads,test_dc10e_export_worker_tenant_context.py,test_valid_tenant_export_creates_metadata_and_downloads,107,PRE_EXISTING,ProgrammingError,"UndefinedTableError: relation ""mv_sales_daily"" does not exist",FAILS_ALONE,export_report_worker queries unqualified mv_sales_daily without tenant search_path
tests/test_dc10e_export_worker_tenant_context.py::test_tenant_a_export_does_not_include_tenant_b_rows,test_dc10e_export_worker_tenant_context.py,test_tenant_a_export_does_not_include_tenant_b_rows,108,PRE_EXISTING,ProgrammingError,"UndefinedTableError: relation ""mv_sales_daily"" does not exist",FAILS_ALONE,export_report_worker queries unqualified mv_sales_daily without tenant search_path
tests/test_dc10e_export_worker_tenant_context.py::test_retry_does_not_lose_tenant_context,test_dc10e_export_worker_tenant_context.py,test_retry_does_not_lose_tenant_context,110,PRE_EXISTING,ProgrammingError,"UndefinedTableError: relation ""mv_sales_daily"" does not exist",FAILS_ALONE,export_report_worker queries unqualified mv_sales_daily without tenant search_path
tests/test_dc1g_retailer_registration_binding_balance.py::test_binding_repository_create_sets_zero_outstanding_balance,test_dc1g_retailer_registration_binding_balance.py,test_binding_repository_create_sets_zero_outstanding_balance,590,CONTAMINATION,InterfaceError,"cannot perform operation: another operation is in progress",PASSES_ALONE,asyncpg protocol Future attached to different loop after asyncio.run() in r4r1
tests/test_dc1g_retailer_registration_binding_balance.py::test_retailer_registration_creates_binding_with_zero_outstanding_balance,test_dc1g_retailer_registration_binding_balance.py,test_retailer_registration_creates_binding_with_zero_outstanding_balance,591,CONTAMINATION,InterfaceError,"cannot perform operation: another operation is in progress (teardown)",PASSES_ALONE,cascading from first dc1g failure via async_session fixture
tests/test_dc3b_credential_recovery_backend.py::test_forgot_password_neutral_for_existing_and_nonexistent_email,test_dc3b_credential_recovery_backend.py,test_forgot_password_neutral_for_existing_and_nonexistent_email,606,CONTAMINATION,RuntimeError,"Task got Future attached to a different loop",PASSES_ALONE,asyncpg protocol Future attached to different loop after asyncio.run() in r4r1
tests/test_dc3b_credential_recovery_backend.py::test_broken_tenant_schema_does_not_block_healthy_password_reset,test_dc3b_credential_recovery_backend.py,test_broken_tenant_schema_does_not_block_healthy_password_reset,607,CONTAMINATION,RuntimeError,"Task got Future attached to a different loop",PASSES_ALONE,asyncpg protocol Future attached to different loop after asyncio.run() in r4r1
tests/test_dc3b_credential_recovery_backend.py::test_production_fail_closed_creates_no_token,test_dc3b_credential_recovery_backend.py,test_production_fail_closed_creates_no_token,608,CONTAMINATION,RuntimeError,"Task got Future attached to a different loop",PASSES_ALONE,asyncpg protocol Future attached to different loop after asyncio.run() in r4r1
tests/test_dc3b_credential_recovery_backend.py::test_reset_token_stored_hash_only_raw_never_persisted,test_dc3b_credential_recovery_backend.py,test_reset_token_stored_hash_only_raw_never_persisted,609,CONTAMINATION,RuntimeError,"Task got Future attached to a different loop",PASSES_ALONE,asyncpg protocol Future attached to different loop after asyncio.run() in r4r1
tests/test_dc3b_credential_recovery_backend.py::test_reset_with_valid_token_updates_password,test_dc3b_credential_recovery_backend.py,test_reset_with_valid_token_updates_password,610,CONTAMINATION,RuntimeError,"Task got Future attached to a different loop",PASSES_ALONE,asyncpg protocol Future attached to different loop after asyncio.run() in r4r1
tests/test_dc3b_credential_recovery_backend.py::test_invalid_states_fail_neutrally,test_dc3b_credential_recovery_backend.py,test_invalid_states_fail_neutrally,611,CONTAMINATION,RuntimeError,"Task got Future attached to a different loop",PASSES_ALONE,asyncpg protocol Future attached to different loop after asyncio.run() in r4r1
tests/test_dc3b_credential_recovery_backend.py::test_query_string_token_rejected,test_dc3b_credential_recovery_backend.py,test_query_string_token_rejected,612,CONTAMINATION,RuntimeError,"Task got Future attached to a different loop",PASSES_ALONE,asyncpg protocol Future attached to different loop after asyncio.run() in r4r1
