v0_status,nodeid,test_file,classification,fresh_file_result,grouped_result,causal_matrix_result,evidence_id
error,tests/test_u6c_signup_email_verification_skeleton.py::test_signup_creates_pending_registration_and_one_active_verification_token,tests/test_u6c_signup_email_verification_skeleton.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6c_signup_email_verification_skeleton.py::test_signup_stores_only_token_hash_and_dev_sink_captures_delivery,tests/test_u6c_signup_email_verification_skeleton.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6c_signup_email_verification_skeleton.py::test_duplicate_same_normalized_email_returns_neutral_success_without_duplicate_live_registration,tests/test_u6c_signup_email_verification_skeleton.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6c_signup_email_verification_skeleton.py::test_same_idempotency_key_and_fingerprint_is_safe,tests/test_u6c_signup_email_verification_skeleton.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
error,tests/test_u6c_signup_email_verification_skeleton.py::test_idempotent_retry_does_not_expose_changed_internal_status,tests/test_u6c_signup_email_verification_skeleton.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6c_signup_email_verification_skeleton.py::test_production_signup_fails_closed_without_email_provider_and_writes_no_rows,tests/test_u6c_signup_email_verification_skeleton.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6c_signup_email_verification_skeleton.py::test_signup_endpoint_returns_503_when_email_delivery_is_unavailable,tests/test_u6c_signup_email_verification_skeleton.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6c_signup_email_verification_skeleton.py::test_invalid_email_or_password_returns_validation_error_without_db_writes,tests/test_u6c_signup_email_verification_skeleton.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6c_signup_email_verification_skeleton.py::test_signup_does_not_create_tenant_schema_users_roles_or_rbac,tests/test_u6c_signup_email_verification_skeleton.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6c_signup_email_verification_skeleton.py::test_signup_response_has_no_raw_token_and_no_query_string_status_contract,tests/test_u6c_signup_email_verification_skeleton.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6d_verify_email_endpoint.py::test_valid_token_verifies_registration_and_marks_token_used,tests/test_u6d_verify_email_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6d_verify_email_endpoint.py::test_invalid_token_returns_neutral_failure_and_writes_nothing,tests/test_u6d_verify_email_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6d_verify_email_endpoint.py::test_missing_or_query_string_token_returns_neutral_failure_and_writes_nothing,tests/test_u6d_verify_email_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
failed,tests/test_u6d_verify_email_endpoint.py::test_expired_token_returns_neutral_failure_and_writes_nothing,tests/test_u6d_verify_email_endpoint.py,TEST_INFRASTRUCTURE,passed,passed,failed_no_current_event_loop,TI-LOOP-001
