observed_status,nodeid,classification,evidence
failed,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveTenantSchemaBootstrapped::test_all_required_tables_present,TEST_INFRASTRUCTURE,"Both R4 full runs failed with Future attached to a different loop; the same node passed in three fresh pytest processes after explicit U1R1 preparation."
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveAdminPermissionsComplete::test_admin_user_exists_and_is_active,TEST_INFRASTRUCTURE,"Both R4 full runs reached the prepared-tenant fixture before the external U1R1 bootstrap and raised relation users does not exist; passed in three prepared runs."
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveAdminPermissionsComplete::test_admin_has_at_least_one_role,TEST_INFRASTRUCTURE,"Cascaded from the same missing prepared-tenant fixture state; passed in three prepared runs."
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveAdminPermissionsComplete::test_admin_role_has_all_required_permissions,TEST_INFRASTRUCTURE,"Cascaded from the same missing prepared-tenant fixture state; passed in three prepared runs."
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestNearRealContextualJwtFlow::test_encode_decode_roundtrip,TEST_INFRASTRUCTURE,"Cascaded from the same missing prepared-tenant fixture state; passed in three prepared runs."
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestNearRealContextualJwtFlow::test_decoded_token_is_contextual_not_identity,TEST_INFRASTRUCTURE,"Cascaded from the same missing prepared-tenant fixture state; passed in three prepared runs."
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_dashboard_kpi_summary,TEST_INFRASTRUCTURE,"Cascaded from the same missing prepared-tenant fixture state; passed in three prepared runs."
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_dashboard_sales_trend,TEST_INFRASTRUCTURE,"Cascaded from the same missing prepared-tenant fixture state; passed in three prepared runs."
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_dashboard_cash_flow,TEST_INFRASTRUCTURE,"Cascaded from the same missing prepared-tenant fixture state; passed in three prepared runs."
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_orders_list,TEST_INFRASTRUCTURE,"Cascaded from the same missing prepared-tenant fixture state; passed in three prepared runs."
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_skus_list,TEST_INFRASTRUCTURE,"Cascaded from the same missing prepared-tenant fixture state; passed in three prepared runs."
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_stock_list_endpoint,TEST_INFRASTRUCTURE,"Cascaded from the same missing prepared-tenant fixture state; passed in three prepared runs."
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_pricing_prices,TEST_INFRASTRUCTURE,"Cascaded from the same missing prepared-tenant fixture state; passed in three prepared runs."
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_payments_list,TEST_INFRASTRUCTURE,"Cascaded from the same missing prepared-tenant fixture state; passed in three prepared runs."
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_retailers_list,TEST_INFRASTRUCTURE,"Cascaded from the same missing prepared-tenant fixture state; passed in three prepared runs."
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_retailer_bindings,TEST_INFRASTRUCTURE,"Cascaded from the same missing prepared-tenant fixture state; passed in three prepared runs."
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestLiveEndpointSmoke::test_exports_status,TEST_INFRASTRUCTURE,"Cascaded from the same missing prepared-tenant fixture state; passed in three prepared runs."
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestBusinessEmptyStateProof::test_pricing_non_200_is_business_not_auth,TEST_INFRASTRUCTURE,"Cascaded from the same missing prepared-tenant fixture state; passed in three prepared runs."
error,tests/test_s3b_fresh_tenant_live_runtime_proof.py::TestBusinessEmptyStateProof::test_exports_non_200_is_business_not_auth,TEST_INFRASTRUCTURE,"Cascaded from the same missing prepared-tenant fixture state; passed in three prepared runs."
